 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  2.53880E-08  1.61588E-09  8.02539E-14  5.13044E-15
  8.000E-03  4.87388E-09  2.53880E-08  1.61588E-09  8.28427E-14  5.29593E-15
  8.250E-03  5.18326E-09  2.53880E-08  1.61588E-09  8.54314E-14  5.46143E-15
  8.500E-03  5.50215E-09  2.53879E-08  1.61588E-09  8.80202E-14  5.62693E-15
  8.750E-03  5.83057E-09  2.53879E-08  1.61588E-09  9.06089E-14  5.79242E-15
  9.000E-03  6.16850E-09  2.53879E-08  1.61587E-09  9.31976E-14  5.95792E-15
  9.250E-03  6.51596E-09  2.53879E-08  1.61587E-09  9.57863E-14  6.12342E-15
  9.500E-03  6.87293E-09  2.53878E-08  1.61587E-09  9.83750E-14  6.28891E-15
  9.750E-03  7.23942E-09  2.53878E-08  1.61587E-09  1.00964E-13  6.45441E-15
  1.000E-02  7.61544E-09  2.53878E-08  1.61587E-09  1.03552E-13  6.61991E-15
  1.250E-02  1.18991E-08  2.53874E-08  1.61587E-09  1.29439E-13  8.27486E-15
  1.500E-02  1.71347E-08  2.53869E-08  1.61587E-09  1.55324E-13  9.92981E-15
  1.750E-02  2.33223E-08  2.53864E-08  1.61586E-09  1.81207E-13  1.15847E-14
  2.000E-02  3.04617E-08  2.53858E-08  1.61585E-09  2.07089E-13  1.32396E-14
  2.250E-02  3.85531E-08  2.53851E-08  1.61585E-09  2.32969E-13  1.48945E-14
  2.500E-02  4.75965E-08  2.53843E-08  1.61584E-09  2.58846E-13  1.65494E-14
  2.750E-02  5.75917E-08  2.53835E-08  1.61583E-09  2.84721E-13  1.82042E-14
  3.000E-02  6.85389E-08  2.53825E-08  1.61582E-09  3.10593E-13  1.98591E-14
  3.250E-02  8.04380E-08  2.53815E-08  1.61581E-09  3.36463E-13  2.15138E-14
  3.500E-02  9.32891E-08  2.53804E-08  1.61580E-09  3.62329E-13  2.31686E-14
  3.750E-02  1.07092E-07  2.53792E-08  1.61579E-09  3.88191E-13  2.48233E-14
  4.000E-02  1.21847E-07  2.53780E-08  1.61577E-09  4.14050E-13  2.64780E-14
  4.250E-02  1.37554E-07  2.53766E-08  1.61576E-09  4.39905E-13  2.81326E-14
  4.500E-02  1.54213E-07  2.53752E-08  1.61574E-09  4.65755E-13  2.97872E-14
  4.750E-02  1.71823E-07  2.53737E-08  1.61573E-09  4.91601E-13  3.14417E-14
  5.000E-02  1.90386E-07  2.53721E-08  1.61571E-09  5.17443E-13  3.30962E-14
  5.250E-02  2.09900E-07  2.53704E-08  1.61570E-09  5.43279E-13  3.47507E-14
  5.500E-02  2.30367E-07  2.53686E-08  1.61568E-09  5.69110E-13  3.64051E-14
  5.750E-02  2.51785E-07  2.53668E-08  1.61566E-09  5.94936E-13  3.80594E-14
  6.000E-02  2.74156E-07  2.53649E-08  1.61564E-09  6.20756E-13  3.97137E-14
  6.250E-02  2.97478E-07  2.53629E-08  1.61562E-09  6.46570E-13  4.13679E-14
  6.500E-02  3.21752E-07  2.53608E-08  1.61560E-09  6.72377E-13  4.30220E-14
  6.750E-02  3.46978E-07  2.53586E-08  1.61557E-09  6.98179E-13  4.46761E-14
  7.000E-02  3.73156E-07  2.53564E-08  1.61555E-09  7.23973E-13  4.63301E-14
  7.250E-02  4.00286E-07  2.53541E-08  1.61553E-09  7.49761E-13  4.79841E-14
  7.500E-02  4.28368E-07  2.53517E-08  1.61550E-09  7.75541E-13  4.96379E-14
  7.750E-02  4.57402E-07  2.53492E-08  1.61548E-09  8.01314E-13  5.12917E-14
  8.000E-02  4.87388E-07  2.53466E-08  1.61545E-09  8.27079E-13  5.29454E-14
  8.250E-02  5.18325E-07  2.53440E-08  1.61542E-09  8.52837E-13  5.45991E-14
  8.500E-02  5.50215E-07  2.53412E-08  1.61539E-09  8.78586E-13  5.62526E-14
  8.750E-02  5.83057E-07  2.53384E-08  1.61537E-09  9.04326E-13  5.79061E-14
  9.000E-02  6.16850E-07  2.53355E-08  1.61534E-09  9.30058E-13  5.95594E-14
  9.250E-02  6.51596E-07  2.53326E-08  1.61531E-09  9.55781E-13  6.12127E-14
  9.500E-02  6.87293E-07  2.53295E-08  1.61527E-09  9.81495E-13  6.28659E-14
  9.750E-02  7.23942E-07  2.53264E-08  1.61524E-09  1.00720E-12  6.45190E-14
  1.000E-01  7.61543E-07  2.53232E-08  1.61521E-09  1.03289E-12  6.61719E-14
  1.250E-01  1.18991E-06  2.52866E-08  1.61483E-09  1.28926E-12  8.26957E-14
  1.500E-01  1.71347E-06  2.52421E-08  1.61437E-09  1.54439E-12  9.92066E-14
  1.750E-01  2.33223E-06  2.51897E-08  1.61382E-09  1.79805E-12  1.15702E-13
  2.000E-01  3.04617E-06  2.51295E-08  1.61320E-09  2.05001E-12  1.32180E-13
  2.250E-01  3.85531E-06  2.50616E-08  1.61248E-09  2.30005E-12  1.48637E-13
  2.500E-01  4.75964E-06  2.49861E-08  1.61169E-09  2.54793E-12  1.65071E-13
  2.750E-01  5.75916E-06  2.49032E-08  1.61081E-09  2.79344E-12  1.81480E-13
  3.000E-01  6.85388E-06  2.48131E-08  1.60986E-09  3.03638E-12  1.97861E-13
  3.250E-01  8.04378E-06  2.47159E-08  1.60881E-09  3.27654E-12  2.14212E-13
  3.500E-01  9.32888E-06  2.46117E-08  1.60769E-09  3.51374E-12  2.30530E-13
  3.750E-01  1.07092E-05  2.45008E-08  1.60649E-09  3.74779E-12  2.46812E-13
  4.000E-01  1.21846E-05  2.43833E-08  1.60521E-09  3.97851E-12  2.63057E-13
  4.250E-01  1.37553E-05  2.42596E-08  1.60384E-09  4.20575E-12  2.79262E-13
  4.500E-01  1.54212E-05  2.41296E-08  1.60240E-09  4.42934E-12  2.95425E-13
  4.750E-01  1.71822E-05  2.39938E-08  1.60088E-09  4.64914E-12  3.11543E-13
  5.000E-01  1.90385E-05  2.38522E-08  1.59928E-09  4.86501E-12  3.27614E-13
  5.250E-01  2.09899E-05  2.37052E-08  1.59760E-09  5.07684E-12  3.43635E-13
  5.500E-01  2.30365E-05  2.35530E-08  1.59585E-09  5.28449E-12  3.59605E-13
  5.750E-01  2.51783E-05  2.33957E-08  1.59402E-09  5.48788E-12  3.75522E-13
  6.000E-01  2.74153E-05  2.32337E-08  1.59211E-09  5.68691E-12  3.91383E-13
  6.250E-01  2.97475E-05  2.30672E-08  1.59012E-09  5.88148E-12  4.07185E-13
  6.500E-01  3.21749E-05  2.28964E-08  1.58807E-09  6.07153E-12  4.22927E-13
  6.750E-01  3.46974E-05  2.27215E-08  1.58594E-09  6.25700E-12  4.38608E-13
  7.000E-01  3.73152E-05  2.25429E-08  1.58373E-09  6.43782E-12  4.54224E-13
  7.250E-01  4.00281E-05  2.23607E-08  1.58146E-09  6.61396E-12  4.69773E-13
  7.500E-01  4.28362E-05  2.21752E-08  1.57911E-09  6.78537E-12  4.85255E-13
  7.750E-01  4.57395E-05  2.19866E-08  1.57669E-09  6.95204E-12  5.00666E-13
  8.000E-01  4.87380E-05  2.17952E-08  1.57420E-09  7.11394E-12  5.16006E-13
  8.250E-01  5.18317E-05  2.16011E-08  1.57165E-09  7.27107E-12  5.31271E-13
  8.500E-01  5.50205E-05  2.14047E-08  1.56902E-09  7.42342E-12  5.46461E-13
  8.750E-01  5.83045E-05  2.12061E-08  1.56633E-09  7.57101E-12  5.61573E-13
  9.000E-01  6.16838E-05  2.10056E-08  1.56357E-09  7.71383E-12  5.76607E-13
  9.250E-01  6.51582E-05  2.08034E-08  1.56075E-09  7.85193E-12  5.91559E-13
  9.500E-01  6.87277E-05  2.05996E-08  1.55786E-09  7.98531E-12  6.06429E-13
  9.750E-01  7.23925E-05  2.03945E-08  1.55491E-09  8.11403E-12  6.21215E-13
  1.000E+00  7.61524E-05  2.01883E-08  1.55190E-09  8.23811E-12  6.35916E-13
  1.100E+00  9.21439E-05  1.93559E-08  1.53924E-09  8.68908E-12  6.93833E-13
  1.200E+00  1.09658E-04  1.85197E-08  1.52567E-09  9.07036E-12  7.50269E-13
  1.300E+00  1.28695E-04  1.76891E-08  1.51125E-09  9.38652E-12  8.05148E-13
  1.400E+00  1.49255E-04  1.68719E-08  1.49604E-09  9.64267E-12  8.58404E-13
  1.500E+00  1.71338E-04  1.60744E-08  1.48012E-09  9.84426E-12  9.09984E-13
  1.600E+00  1.94942E-04  1.53013E-08  1.46355E-09  9.99681E-12  9.59845E-13
  1.700E+00  2.20070E-04  1.45562E-08  1.44641E-09  1.01057E-11  1.00796E-12
  1.800E+00  2.46720E-04  1.38413E-08  1.42876E-09  1.01761E-11  1.05429E-12
  1.900E+00  2.74892E-04  1.31583E-08  1.41067E-09  1.02129E-11  1.09885E-12
  2.000E+00  3.04586E-04  1.25078E-08  1.39219E-09  1.02205E-11  1.14162E-12
  2.100E+00  3.35803E-04  1.18899E-08  1.37339E-09  1.02030E-11  1.18261E-12
  2.200E+00  3.68542E-04  1.13043E-08  1.35434E-09  1.01640E-11  1.22182E-12
  2.300E+00  4.02802E-04  1.07502E-08  1.33507E-09  1.01070E-11  1.25929E-12
  2.400E+00  4.38585E-04  1.02268E-08  1.31565E-09  1.00346E-11  1.29504E-12
  2.500E+00  4.75889E-04  9.73277E-09  1.29612E-09  9.94957E-12  1.32909E-12
  2.600E+00  5.14715E-04  9.26692E-09  1.27654E-09  9.85407E-12  1.36149E-12
  2.700E+00  5.55063E-04  8.82786E-09  1.25693E-09  9.75006E-12  1.39226E-12
  2.800E+00  5.96931E-04  8.41420E-09  1.23735E-09  9.63924E-12  1.42146E-12
  2.900E+00  6.40321E-04  8.02457E-09  1.21782E-09  9.52305E-12  1.44913E-12
