

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     330      5.26512073E-07      5.27393428E-07  i
     340      3.67956597E-07      3.68571813E-07  i
     350      2.57255554E-07      2.57685203E-07  i
     360      1.79930084E-07      1.80230266E-07  i
     370      1.25893358E-07      1.26103183E-07  i
     380      8.81158180E-08      8.82625318E-08  i
     390      6.16948266E-08      6.17974634E-08  i
     400      4.32095561E-08      4.32813828E-08  i
     410      3.02719163E-08      3.03221926E-08  i
     420      2.12140181E-08      2.12492126E-08  i
     430      1.48703292E-08      1.48949891E-08  i
     440      1.04261255E-08      1.04433974E-08  i
     450      7.31223281E-09      7.32433157E-09  i
     460      5.12931870E-09      5.13781654E-09  i
     470      3.59867877E-09      3.60465210E-09  i
     480      2.52534537E-09      2.52951176E-09  i
     490      1.77233128E-09      1.77526291E-09  i
     500      1.24395464E-09      1.24601794E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.036E-15, 6.620E-17)  1.00E-07
  1.250E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.294E-15, 8.275E-17)  1.00E-07
  1.500E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.553E-15, 9.930E-17)  1.00E-07
  1.750E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.812E-15, 1.158E-16)  1.00E-07
  2.000E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.071E-15, 1.324E-16)  1.00E-07
  2.250E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.330E-15, 1.489E-16)  1.00E-07
  2.500E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.589E-15, 1.655E-16)  1.00E-07
  2.750E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.848E-15, 1.820E-16)  1.00E-07
  3.000E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.107E-15, 1.986E-16)  1.00E-07
  3.250E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.366E-15, 2.151E-16)  1.00E-07
  3.500E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.624E-15, 2.317E-16)  1.00E-07
  3.750E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.883E-15, 2.482E-16)  1.00E-07
  4.000E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.142E-15, 2.648E-16)  1.00E-07
  4.250E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.401E-15, 2.813E-16)  1.00E-07
  4.500E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.660E-15, 2.979E-16)  1.00E-07
  4.750E-04 6.47183E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.919E-15, 3.144E-16)  1.00E-07
  5.000E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.178E-15, 3.310E-16)  1.00E-07
  5.250E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.437E-15, 3.475E-16)  1.00E-07
  5.500E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.696E-15, 3.641E-16)  1.00E-07
  5.750E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.954E-15, 3.806E-16)  1.00E-07
  6.000E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.213E-15, 3.972E-16)  1.00E-07
  6.250E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.472E-15, 4.137E-16)  1.00E-07
  6.500E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.731E-15, 4.303E-16)  1.00E-07
  6.750E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.990E-15, 4.468E-16)  1.00E-07
  7.000E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 7.249E-15, 4.634E-16)  1.00E-07
  7.250E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 7.508E-15, 4.799E-16)  1.00E-07
  7.500E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 7.767E-15, 4.965E-16)  1.00E-07
  7.750E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 8.026E-15, 5.130E-16)  1.00E-07
  8.000E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 8.284E-15, 5.296E-16)  1.00E-07
  8.250E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 8.543E-15, 5.461E-16)  1.00E-07
  8.500E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 8.802E-15, 5.627E-16)  1.00E-07
  8.750E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 9.061E-15, 5.792E-16)  1.00E-07
  9.000E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 9.320E-15, 5.958E-16)  1.00E-07
  9.250E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 9.579E-15, 6.123E-16)  1.00E-07
  9.500E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 9.838E-15, 6.289E-16)  1.00E-07
  9.750E-04 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.010E-14, 6.454E-16)  1.00E-07
  1.000E-03 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.036E-14, 6.620E-16)  1.00E-07
  1.250E-03 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.294E-14, 8.275E-16)  1.00E-07
  1.500E-03 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.553E-14, 9.930E-16)  1.00E-07
  1.750E-03 6.47182E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 1.812E-14, 1.158E-15)  1.00E-07
  2.000E-03 6.47181E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.071E-14, 1.324E-15)  1.00E-07
  2.250E-03 6.47181E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.330E-14, 1.489E-15)  1.00E-07
  2.500E-03 6.47181E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.589E-14, 1.655E-15)  1.00E-07
  2.750E-03 6.47180E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 2.848E-14, 1.820E-15)  1.00E-07
  3.000E-03 6.47180E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.107E-14, 1.986E-15)  1.00E-07
  3.250E-03 6.47179E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.366E-14, 2.151E-15)  1.00E-07
  3.500E-03 6.47179E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.624E-14, 2.317E-15)  1.00E-07
  3.750E-03 6.47178E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 3.883E-14, 2.482E-15)  1.00E-07
  4.000E-03 6.47177E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.142E-14, 2.648E-15)  1.00E-07
  4.250E-03 6.47177E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.401E-14, 2.813E-15)  1.00E-07
  4.500E-03 6.47176E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.660E-14, 2.979E-15)  1.00E-07
  4.750E-03 6.47175E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 4.919E-14, 3.144E-15)  1.00E-07
  5.000E-03 6.47174E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.178E-14, 3.310E-15)  1.00E-07
  5.250E-03 6.47173E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.437E-14, 3.475E-15)  1.00E-07
  5.500E-03 6.47173E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.695E-14, 3.641E-15)  1.00E-07
  5.750E-03 6.47172E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 5.954E-14, 3.806E-15)  1.00E-07
  6.000E-03 6.47171E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.213E-14, 3.972E-15)  1.00E-07
  6.250E-03 6.47170E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.472E-14, 4.137E-15)  1.00E-07
  6.500E-03 6.47169E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.731E-14, 4.303E-15)  1.00E-07
  6.750E-03 6.47167E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 6.990E-14, 4.468E-15)  1.00E-07
  7.000E-03 6.47166E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 7.249E-14, 4.634E-15)  1.00E-07
  7.250E-03 6.47165E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 7.508E-14, 4.799E-15)  1.00E-07
  7.500E-03 6.47164E-16  0.000E+00 ( 2.539E-08, 1.616E-09) ( 7.767E-14, 4.965E-15)  1.00E-07
