

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.51262000E-01      0.00000000E+00
       1      4.07720622E-01      4.13501358E-01
       2      3.36592604E-01      3.39565665E-01
       3      2.90181286E-01      2.92159515E-01
       4      2.56325993E-01      2.57786472E-01
       5      2.30077936E-01      2.31219828E-01
       6      2.08916544E-01      2.09843152E-01
       7      1.91375311E-01      1.92147522E-01
       8      1.76523374E-01      1.77180201E-01
       9      1.63733059E-01      1.64300992E-01
      10      1.52562209E-01      1.53060008E-01
      11      1.42688967E-01      1.43130347E-01
      12      1.33873032E-01      1.34268267E-01
      13      1.25931320E-01      1.26288264E-01
      14      1.18722004E-01      1.19046757E-01
      15      1.12133650E-01      1.12431018E-01
      16      1.06077626E-01      1.06351441E-01
      17      1.00482647E-01      1.00735999E-01
      18      9.52907971E-02      9.55262025E-02
      19      9.04545717E-02      9.06741011E-02
      20      8.59346498E-02      8.61400211E-02
      21      8.16981966E-02      8.18908484E-02
      22      7.77175580E-02      7.78987053E-02
      23      7.39692467E-02      7.41399244E-02
      24      7.04331505E-02      7.05942472E-02
      25      6.70919078E-02      6.72441928E-02
      26      6.39304138E-02      6.40745583E-02
      27      6.09354268E-02      6.10720206E-02
      28      5.80952530E-02      5.82248186E-02
      29      5.53994932E-02      5.55224961E-02
      30      5.28388374E-02      5.29556956E-02
      31      5.04048988E-02      5.05159895E-02
      32      4.80900772E-02      4.81957429E-02
      33      4.58874484E-02      4.59880017E-02
      34      4.37906717E-02      4.38863995E-02
      35      4.17939147E-02      4.18850810E-02
      36      3.98917896E-02      3.99786389E-02
      37      3.80793008E-02      3.81620599E-02
      38      3.63518006E-02      3.64306807E-02
      39      3.47049516E-02      3.47801501E-02
      40      3.31346953E-02      3.32063969E-02
      41      3.16372247E-02      3.17056029E-02
      42      3.02089614E-02      3.02741792E-02
      43      2.88465350E-02      2.89087463E-02
      44      2.75467664E-02      2.76061161E-02
      45      2.63066521E-02      2.63632774E-02
      46      2.51233509E-02      2.51773814E-02
      47      2.39941722E-02      2.40457308E-02
      48      2.29165655E-02      2.29657687E-02
      49      2.18881110E-02      2.19350693E-02
      50      2.09065110E-02      2.09513294E-02
      51      1.99695827E-02      2.00123609E-02
      52      1.90752508E-02      1.91160836E-02
      53      1.82215416E-02      1.82605192E-02
      54      1.74065770E-02      1.74437852E-02
      55      1.66285693E-02      1.66640898E-02
      56      1.58858161E-02      1.59197267E-02
      57      1.51766962E-02      1.52090709E-02
      58      1.44996647E-02      1.45305741E-02
      59      1.38532496E-02      1.38827611E-02
      60      1.32360481E-02      1.32642256E-02
      61      1.26467227E-02      1.26736275E-02
      62      1.20839985E-02      1.21096887E-02
      63      1.15466598E-02      1.15711909E-02
      64      1.10335471E-02      1.10569722E-02
      65      1.05435550E-02      1.05659244E-02
      66      1.00756289E-02      1.00969909E-02
      67      9.62876297E-03      9.64916351E-03
      68      9.20199785E-03      9.22148073E-03
      69      8.79441832E-03      8.81302534E-03
      70      8.40515127E-03      8.42292229E-03
      71      8.03336374E-03      8.05033680E-03
      72      7.67826109E-03      7.69447248E-03
      73      7.33908511E-03      7.35456946E-03
      74      7.01511244E-03      7.02990276E-03
      75      6.70565289E-03      6.71978070E-03
      76      6.41004788E-03      6.42354325E-03
      77      6.12766907E-03      6.14056069E-03
      78      5.85791687E-03      5.87023211E-03
      79      5.60021914E-03      5.61198412E-03
      80      5.35402997E-03      5.36526962E-03
      81      5.11882839E-03      5.12956649E-03
      82      4.89411729E-03      4.90437653E-03
      83      4.67942229E-03      4.68922432E-03
      84      4.47429068E-03      4.48365617E-03
      85      4.27829046E-03      4.28723912E-03
      86      4.09100935E-03      4.09956001E-03
      87      3.91205389E-03      3.92022452E-03
      88      3.74104862E-03      3.74885634E-03
      89      3.57763518E-03      3.58509635E-03
      90      3.42147156E-03      3.42860179E-03
      91      3.27223137E-03      3.27904556E-03
      92      3.12960308E-03      3.13611545E-03
      93      2.99328935E-03      2.99951347E-03
      94      2.86300640E-03      2.86895523E-03
      95      2.73848336E-03      2.74416926E-03  i
      96      2.61946169E-03      2.62489645E-03  i
      97      2.50569460E-03      2.51088950E-03  i
      98      2.39694655E-03      2.40191233E-03  i
      99      2.29299266E-03      2.29773958E-03  i
     100      2.19361830E-03      2.19815616E-03  i
     105      1.75858462E-03      1.76220927E-03  i
     110      1.41095332E-03      1.41385096E-03  i
     115      1.13293177E-03      1.13525016E-03  i
     120      9.10395407E-04      9.12251891E-04  i
     125      7.32123048E-04      7.33610886E-04  i
     130      5.89193026E-04      5.90386393E-04  i
     135      4.74506063E-04      4.75464008E-04  i
     140      3.82408265E-04      3.83177836E-04  i
     145      3.08392922E-04      3.09011636E-04  i
     150      2.48864645E-04      2.49362446E-04  i
     155      2.00952540E-04      2.01353350E-04  i
     160      1.62362235E-04      1.62685178E-04  i
     165      1.31258500E-04      1.31518882E-04  i
     170      1.06172103E-04      1.06382181E-04  i
     175      8.59258231E-05      8.60954240E-05  i
     180      6.95756266E-05      6.97126328E-05  i
     185      5.63638507E-05      5.64745916E-05  i
     190      4.56819285E-05      4.57714898E-05  i
     195      3.70406674E-05      3.71131387E-05  i
     200      3.00465315E-05      3.01052042E-05  i
     205      2.43827041E-05      2.44302289E-05  i
     210      1.97939481E-05      1.98324612E-05  i
     215      1.60744963E-05      1.61057205E-05  i
     220      1.30583512E-05      1.30836766E-05  i
     225      1.06115118E-05      1.06320612E-05  i
     230      8.62573959E-06      8.64242000E-06  i
     235      7.01355326E-06      7.02709805E-06  i
     240      5.70420790E-06      5.71521027E-06  i
     245      4.64046170E-06      4.64940178E-06  i
     250      3.77597447E-06      3.78324103E-06  i
     255      3.07321269E-06      3.07912069E-06  i
     260      2.50176143E-06      2.50656621E-06  i
     265      2.03696306E-06      2.04087159E-06  i
     270      1.65881871E-06      1.66199895E-06  i
     275      1.35110167E-06      1.35368990E-06  i
     280      1.10064067E-06      1.10274754E-06  i
     285      8.96740554E-07      8.98455921E-07  i
     290      7.30713822E-07      7.32110697E-07  i
     295      5.95501662E-07      5.96639383E-07  i
     300      4.85366437E-07      4.86293220E-07  i
     310      3.22538641E-07      3.23153891E-07  i
     320      2.14415220E-07      2.14823895E-07  i
     330      1.42582637E-07      1.42854210E-07  i
     340      9.48402820E-08      9.50207973E-08  i
     350      6.30980784E-08      6.32181401E-08  i
     360      4.19871746E-08      4.20670216E-08  i
     370      2.79434445E-08      2.79965666E-08  i
     380      1.85991005E-08      1.86344480E-08  i
     390      1.23804731E-08      1.24040071E-08  i
     400      8.24147418E-09      8.25714276E-09  i
     410      5.48639621E-09      5.49682145E-09  i
     420      3.65258947E-09      3.65952951E-09  i
     430      2.43151197E-09      2.43614006E-09  i
     440      1.61853062E-09      1.62160586E-09  i
     450      1.07729306E-09      1.07935160E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 1.055E-15, 7.063E-17)  1.00E-07
  1.250E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 1.319E-15, 8.829E-17)  1.00E-07
  1.500E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 1.582E-15, 1.059E-16)  1.00E-07
  1.750E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 1.846E-15, 1.236E-16)  1.00E-07
  2.000E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 2.110E-15, 1.413E-16)  1.00E-07
  2.250E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 2.373E-15, 1.589E-16)  1.00E-07
  2.500E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 2.637E-15, 1.766E-16)  1.00E-07
  2.750E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 2.901E-15, 1.942E-16)  1.00E-07
  3.000E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 3.165E-15, 2.119E-16)  1.00E-07
  3.250E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 3.428E-15, 2.295E-16)  1.00E-07
  3.500E-04 6.71838E-16  0.000E+00 ( 2.586E-08, 1.725E-09) ( 3.692E-15, 2.472E-16)  1.00E-07
