

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     330      1.64970454E-08      1.65317118E-08  i
     340      1.05193925E-08      1.05415000E-08  i
     350      6.70606964E-09      6.72017039E-09  i
     360      4.27431123E-09      4.28329327E-09  i
     370      2.72361233E-09      2.72935197E-09  i
     380      1.73499275E-09      1.73864245E-09  i
     390      1.10493791E-09      1.10728315E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 0.000E+00, 0.000E+00)  1.35E-07
  1.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.259E-16, 3.180E-18)  1.35E-07
  1.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.824E-16, 3.975E-18)  1.35E-07
  1.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 3.389E-16, 4.770E-18)  1.35E-07
  1.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 3.954E-16, 5.565E-18)  1.35E-07
  2.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 4.519E-16, 6.360E-18)  1.35E-07
  2.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 5.084E-16, 7.155E-18)  1.35E-07
  2.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 5.649E-16, 7.950E-18)  1.35E-07
  2.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 6.213E-16, 8.745E-18)  1.35E-07
  3.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 6.778E-16, 9.540E-18)  1.35E-07
  3.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 7.343E-16, 1.033E-17)  1.35E-07
  3.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 7.908E-16, 1.113E-17)  1.35E-07
  3.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 8.473E-16, 1.192E-17)  1.35E-07
  4.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 9.038E-16, 1.272E-17)  1.35E-07
  4.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 9.603E-16, 1.351E-17)  1.35E-07
  4.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.017E-15, 1.431E-17)  1.35E-07
  4.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.073E-15, 1.510E-17)  1.35E-07
  5.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.130E-15, 1.590E-17)  1.35E-07
  5.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.186E-15, 1.669E-17)  1.35E-07
  5.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.243E-15, 1.749E-17)  1.35E-07
  5.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.299E-15, 1.828E-17)  1.35E-07
  6.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.356E-15, 1.908E-17)  1.35E-07
  6.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.412E-15, 1.987E-17)  1.35E-07
  6.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.469E-15, 2.067E-17)  1.35E-07
  6.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.525E-15, 2.146E-17)  1.35E-07
  7.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.582E-15, 2.226E-17)  1.35E-07
  7.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.638E-15, 2.305E-17)  1.35E-07
  7.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.695E-15, 2.385E-17)  1.35E-07
  7.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.751E-15, 2.464E-17)  1.35E-07
  8.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.808E-15, 2.544E-17)  1.35E-07
  8.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.864E-15, 2.623E-17)  1.35E-07
  8.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.921E-15, 2.703E-17)  1.35E-07
  8.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.977E-15, 2.782E-17)  1.35E-07
  9.000E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.033E-15, 2.862E-17)  1.35E-07
  9.250E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.090E-15, 2.941E-17)  1.35E-07
  9.500E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.146E-15, 3.021E-17)  1.35E-07
  9.750E-04 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.203E-15, 3.100E-17)  1.35E-07
  1.000E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.259E-15, 3.180E-17)  1.35E-07
  1.250E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.824E-15, 3.975E-17)  1.35E-07
  1.500E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 3.389E-15, 4.770E-17)  1.35E-07
  1.750E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 3.954E-15, 5.565E-17)  1.35E-07
  2.000E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 4.519E-15, 6.360E-17)  1.35E-07
  2.250E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 5.084E-15, 7.155E-17)  1.35E-07
  2.500E-03 3.07954E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 5.649E-15, 7.950E-17)  1.35E-07
  2.750E-03 3.07953E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 6.213E-15, 8.745E-17)  1.35E-07
  3.000E-03 3.07953E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 6.778E-15, 9.540E-17)  1.35E-07
  3.250E-03 3.07953E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 7.343E-15, 1.033E-16)  1.35E-07
  3.500E-03 3.07953E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 7.908E-15, 1.113E-16)  1.35E-07
  3.750E-03 3.07952E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 8.473E-15, 1.192E-16)  1.35E-07
  4.000E-03 3.07952E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 9.038E-15, 1.272E-16)  1.35E-07
  4.250E-03 3.07952E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 9.603E-15, 1.351E-16)  1.35E-07
  4.500E-03 3.07952E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.017E-14, 1.431E-16)  1.35E-07
  4.750E-03 3.07951E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.073E-14, 1.510E-16)  1.35E-07
  5.000E-03 3.07951E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.130E-14, 1.590E-16)  1.35E-07
  5.250E-03 3.07951E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.186E-14, 1.669E-16)  1.35E-07
  5.500E-03 3.07950E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.243E-14, 1.749E-16)  1.35E-07
  5.750E-03 3.07950E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.299E-14, 1.828E-16)  1.35E-07
  6.000E-03 3.07950E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.356E-14, 1.908E-16)  1.35E-07
  6.250E-03 3.07949E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.412E-14, 1.987E-16)  1.35E-07
  6.500E-03 3.07949E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.469E-14, 2.067E-16)  1.35E-07
  6.750E-03 3.07948E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.525E-14, 2.146E-16)  1.35E-07
  7.000E-03 3.07948E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.582E-14, 2.226E-16)  1.35E-07
  7.250E-03 3.07947E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.638E-14, 2.305E-16)  1.35E-07
  7.500E-03 3.07947E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.695E-14, 2.385E-16)  1.35E-07
  7.750E-03 3.07946E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.751E-14, 2.464E-16)  1.35E-07
  8.000E-03 3.07946E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.808E-14, 2.544E-16)  1.35E-07
  8.250E-03 3.07945E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.864E-14, 2.623E-16)  1.35E-07
  8.500E-03 3.07945E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.920E-14, 2.703E-16)  1.35E-07
  8.750E-03 3.07944E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 1.977E-14, 2.782E-16)  1.35E-07
  9.000E-03 3.07944E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.033E-14, 2.862E-16)  1.35E-07
  9.250E-03 3.07943E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.090E-14, 2.941E-16)  1.35E-07
  9.500E-03 3.07942E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.146E-14, 3.021E-16)  1.35E-07
  9.750E-03 3.07942E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.203E-14, 3.100E-16)  1.35E-07
  1.000E-02 3.07941E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.259E-14, 3.180E-16)  1.35E-07
  1.250E-02 3.07934E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 2.824E-14, 3.975E-16)  1.35E-07
  1.500E-02 3.07925E-17  0.000E+00 ( 5.549E-09, 7.825E-11) ( 3.389E-14, 4.770E-16)  1.35E-07
  1.750E-02 3.07914E-17  0.000E+00 ( 5.548E-09, 7.825E-11) ( 3.954E-14, 5.565E-16)  1.35E-07
  2.000E-02 3.07901E-17  0.000E+00 ( 5.548E-09, 7.825E-11) ( 4.518E-14, 6.360E-16)  1.35E-07
  2.250E-02 3.07887E-17  0.000E+00 ( 5.548E-09, 7.824E-11) ( 5.083E-14, 7.155E-16)  1.34E-07
  2.500E-02 3.07872E-17  0.000E+00 ( 5.548E-09, 7.824E-11) ( 5.648E-14, 7.950E-16)  1.34E-07
  2.750E-02 3.07854E-17  0.000E+00 ( 5.548E-09, 7.824E-11) ( 6.212E-14, 8.744E-16)  1.34E-07
  3.000E-02 3.07835E-17  0.000E+00 ( 5.548E-09, 7.824E-11) ( 6.777E-14, 9.539E-16)  1.34E-07
  3.250E-02 3.07815E-17  0.000E+00 ( 5.548E-09, 7.824E-11) ( 7.341E-14, 1.033E-15)  1.34E-07
  3.500E-02 3.07792E-17  0.000E+00 ( 5.547E-09, 7.824E-11) ( 7.906E-14, 1.113E-15)  1.33E-07
  3.750E-02 3.07768E-17  0.000E+00 ( 5.547E-09, 7.824E-11) ( 8.470E-14, 1.192E-15)  1.33E-07
  4.000E-02 3.07743E-17  0.000E+00 ( 5.547E-09, 7.824E-11) ( 9.035E-14, 1.272E-15)  1.33E-07
  4.250E-02 3.07715E-17  0.000E+00 ( 5.547E-09, 7.824E-11) ( 9.599E-14, 1.351E-15)  1.32E-07
  4.500E-02 3.07686E-17  0.000E+00 ( 5.546E-09, 7.824E-11) ( 1.016E-13, 1.431E-15)  1.32E-07
  4.750E-02 3.07656E-17  0.000E+00 ( 5.546E-09, 7.824E-11) ( 1.073E-13, 1.510E-15)  1.32E-07
  5.000E-02 3.07624E-17  0.000E+00 ( 5.546E-09, 7.824E-11) ( 1.129E-13, 1.590E-15)  1.31E-07
  5.250E-02 3.07590E-17  0.000E+00 ( 5.546E-09, 7.824E-11) ( 1.186E-13, 1.669E-15)  1.31E-07
  5.500E-02 3.07554E-17  0.000E+00 ( 5.545E-09, 7.824E-11) ( 1.242E-13, 1.749E-15)  1.30E-07
  5.750E-02 3.07517E-17  0.000E+00 ( 5.545E-09, 7.824E-11) ( 1.298E-13, 1.828E-15)  1.30E-07
  6.000E-02 3.07478E-17  0.000E+00 ( 5.545E-09, 7.823E-11) ( 1.355E-13, 1.908E-15)  1.30E-07
  6.250E-02 3.07438E-17  0.000E+00 ( 5.544E-09, 7.823E-11) ( 1.411E-13, 1.987E-15)  1.29E-07
  6.500E-02 3.07396E-17  0.000E+00 ( 5.544E-09, 7.823E-11) ( 1.467E-13, 2.067E-15)  1.29E-07
  6.750E-02 3.07352E-17  0.000E+00 ( 5.543E-09, 7.823E-11) ( 1.524E-13, 2.146E-15)  1.28E-07
  7.000E-02 3.07306E-17  0.000E+00 ( 5.543E-09, 7.823E-11) ( 1.580E-13, 2.225E-15)  1.28E-07
  7.250E-02 3.07259E-17  0.000E+00 ( 5.543E-09, 7.823E-11) ( 1.636E-13, 2.305E-15)  1.27E-07
  7.500E-02 3.07211E-17  0.000E+00 ( 5.542E-09, 7.823E-11) ( 1.693E-13, 2.384E-15)  1.26E-07
  7.750E-02 3.07160E-17  0.000E+00 ( 5.542E-09, 7.823E-11) ( 1.749E-13, 2.464E-15)  1.26E-07
  8.000E-02 3.07108E-17  0.000E+00 ( 5.541E-09, 7.823E-11) ( 1.805E-13, 2.543E-15)  1.25E-07
  8.250E-02 3.07055E-17  0.000E+00 ( 5.541E-09, 7.822E-11) ( 1.861E-13, 2.623E-15)  1.25E-07
  8.500E-02 3.07000E-17  0.000E+00 ( 5.540E-09, 7.822E-11) ( 1.918E-13, 2.702E-15)  1.24E-07
  8.750E-02 3.06943E-17  0.000E+00 ( 5.540E-09, 7.822E-11) ( 1.974E-13, 2.782E-15)  1.23E-07
  9.000E-02 3.06884E-17  0.000E+00 ( 5.539E-09, 7.822E-11) ( 2.030E-13, 2.861E-15)  1.23E-07
  9.250E-02 3.06824E-17  0.000E+00 ( 5.539E-09, 7.822E-11) ( 2.086E-13, 2.940E-15)  1.22E-07
  9.500E-02 3.06762E-17  0.000E+00 ( 5.538E-09, 7.822E-11) ( 2.142E-13, 3.020E-15)  1.21E-07
  9.750E-02 3.06699E-17  0.000E+00 ( 5.537E-09, 7.821E-11) ( 2.198E-13, 3.099E-15)  1.20E-07
  1.000E-01 3.06634E-17  0.000E+00 ( 5.537E-09, 7.821E-11) ( 2.255E-13, 3.179E-15)  1.20E-07
  1.250E-01 3.05895E-17  0.000E+00 ( 5.530E-09, 7.819E-11) ( 2.815E-13, 3.972E-15)  1.11E-07
  1.500E-01 3.04995E-17  0.000E+00 ( 5.522E-09, 7.817E-11) ( 3.373E-13, 4.765E-15)  1.01E-07
  1.750E-01 3.03936E-17  0.000E+00 ( 5.512E-09, 7.814E-11) ( 3.928E-13, 5.558E-15)  1.00E-07
  2.000E-01 3.02720E-17  0.000E+00 ( 5.501E-09, 7.811E-11) ( 4.480E-13, 6.349E-15)  1.00E-07
  2.250E-01 3.01351E-17  0.000E+00 ( 5.489E-09, 7.808E-11) ( 5.029E-13, 7.139E-15)  1.00E-07
  2.500E-01 2.99830E-17  0.000E+00 ( 5.475E-09, 7.804E-11) ( 5.574E-13, 7.928E-15)  1.00E-07
  2.750E-01 2.98162E-17  0.000E+00 ( 5.460E-09, 7.799E-11) ( 6.114E-13, 8.716E-15)  1.00E-07
  3.000E-01 2.96350E-17  0.000E+00 ( 5.443E-09, 7.795E-11) ( 6.649E-13, 9.503E-15)  1.00E-07
  3.250E-01 2.94397E-17  0.000E+00 ( 5.425E-09, 7.789E-11) ( 7.180E-13, 1.029E-14)  1.00E-07
  3.500E-01 2.92309E-17  0.000E+00 ( 5.406E-09, 7.784E-11) ( 7.705E-13, 1.107E-14)  1.00E-07
  3.750E-01 2.90088E-17  0.000E+00 ( 5.385E-09, 7.778E-11) ( 8.223E-13, 1.185E-14)  1.00E-07
  4.000E-01 2.87740E-17  0.000E+00 ( 5.364E-09, 7.771E-11) ( 8.736E-13, 1.263E-14)  1.00E-07
  4.250E-01 2.85270E-17  0.000E+00 ( 5.341E-09, 7.764E-11) ( 9.242E-13, 1.341E-14)  1.00E-07
  4.500E-01 2.82682E-17  0.000E+00 ( 5.316E-09, 7.757E-11) ( 9.741E-13, 1.419E-14)  1.00E-07
  4.750E-01 2.79982E-17  0.000E+00 ( 5.291E-09, 7.750E-11) ( 1.023E-12, 1.496E-14)  1.00E-07
  5.000E-01 2.77174E-17  0.000E+00 ( 5.264E-09, 7.742E-11) ( 1.072E-12, 1.573E-14)  1.00E-07
  5.250E-01 2.74264E-17  0.000E+00 ( 5.236E-09, 7.733E-11) ( 1.119E-12, 1.650E-14)  1.00E-07
  5.500E-01 2.71258E-17  0.000E+00 ( 5.208E-09, 7.724E-11) ( 1.166E-12, 1.726E-14)  1.00E-07
  5.750E-01 2.68161E-17  0.000E+00 ( 5.178E-09, 7.715E-11) ( 1.212E-12, 1.803E-14)  1.00E-07
  6.000E-01 2.64979E-17  0.000E+00 ( 5.147E-09, 7.705E-11) ( 1.258E-12, 1.879E-14)  1.00E-07
  6.250E-01 2.61717E-17  0.000E+00 ( 5.115E-09, 7.696E-11) ( 1.302E-12, 1.955E-14)  1.00E-07
  6.500E-01 2.58381E-17  0.000E+00 ( 5.083E-09, 7.685E-11) ( 1.345E-12, 2.030E-14)  1.00E-07
  6.750E-01 2.54976E-17  0.000E+00 ( 5.049E-09, 7.674E-11) ( 1.388E-12, 2.105E-14)  1.00E-07
  7.000E-01 2.51509E-17  0.000E+00 ( 5.014E-09, 7.663E-11) ( 1.429E-12, 2.180E-14)  1.00E-07
  7.250E-01 2.47985E-17  0.000E+00 ( 4.979E-09, 7.652E-11) ( 1.470E-12, 2.254E-14)  1.00E-07
  7.500E-01 2.44409E-17  0.000E+00 ( 4.943E-09, 7.640E-11) ( 1.510E-12, 2.329E-14)  1.00E-07
