

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.73126175E-01      0.00000000E+00
       1      9.90852017E-01      1.29997805E+00
       2      8.99081650E-02      1.79422326E-01
       3     -5.17746529E-01     -4.73835645E-01
       4     -9.52509729E-01     -9.25745754E-01
       5     -1.27908288E+00     -1.26080064E+00
       6     -1.53244132E+00     -1.51908332E+00
       7      1.40745401E+00      1.41769005E+00
       8      1.24295558E+00      1.25109646E+00
       9      1.10587503E+00      1.11253807E+00
      10      9.89679687E-01      9.95248309E-01
      11      8.89991634E-01      8.94713168E-01
      12      8.03782723E-01      8.07825286E-01
      13      7.28838724E-01      7.32323908E-01
      14      6.63435971E-01      6.66457054E-01
      15      6.06162389E-01      6.08794183E-01
      16      5.55824823E-01      5.58128956E-01
      17      5.11402083E-01      5.13429955E-01
      18      4.72019297E-01      4.73813908E-01
      19      4.36930752E-01      4.38528006E-01
      20      4.05505445E-01      4.06935205E-01
      21      3.77213314E-01      3.78500321E-01
      22      3.51611816E-01      3.52776502E-01
      23      3.28333099E-01      3.29392305E-01
      24      3.07072142E-01      3.08039746E-01
      25      2.87576114E-01      2.88463575E-01
      26      2.69635097E-01      2.70451902E-01
      27      2.53074158E-01      2.53828204E-01
      28      2.37746719E-01      2.38444623E-01
      29      2.23529090E-01      2.24176443E-01
      30      2.10316025E-01      2.10917589E-01
      31      1.98017134E-01      1.98577009E-01
      32      1.86554035E-01      1.87075782E-01
      33      1.75858088E-01      1.76344833E-01
      34      1.65868613E-01      1.66323125E-01
      35      1.56531494E-01      1.56956246E-01
      36      1.47798084E-01      1.48195301E-01
      37      1.39624342E-01      1.39996042E-01
      38      1.31970163E-01      1.32318182E-01
      39      1.24798843E-01      1.25124865E-01
      40      1.18076659E-01      1.18382228E-01
      41      1.11772523E-01      1.12059063E-01
      42      1.05857711E-01      1.06126537E-01
      43      1.00305629E-01      1.00557958E-01
      44      9.50916251E-02      9.53285841E-02
      45      9.01928230E-02      9.04154571E-02
      46      8.55879803E-02      8.57972593E-02
      47      8.12573632E-02      8.14541872E-02
      48      7.71826340E-02      7.73678389E-02
      49      7.33467502E-02      7.35211121E-02
      50      6.97338712E-02      6.98981111E-02
      51      6.63292738E-02      6.64840613E-02
      52      6.31192727E-02      6.32652299E-02
      53      6.00911481E-02      6.02288530E-02
      54      5.72330772E-02      5.73630666E-02
      55      5.45340707E-02      5.46568433E-02
      56      5.19839136E-02      5.20999329E-02
      57      4.95731098E-02      4.96828066E-02
      58      4.72928307E-02      4.73966051E-02
      59      4.51348667E-02      4.52330909E-02
      60      4.30915825E-02      4.31846026E-02
      61      4.11558754E-02      4.12440132E-02
      62      3.93211361E-02      3.94046910E-02
      63      3.75812130E-02      3.76604637E-02
      64      3.59303782E-02      3.60055841E-02
      65      3.43632964E-02      3.44346993E-02
      66      3.28749963E-02      3.29428213E-02
      67      3.14608435E-02      3.15253005E-02
      68      3.01165160E-02      3.01778008E-02
      69      2.88379809E-02      2.88962761E-02
      70      2.76214734E-02      2.76769497E-02
      71      2.64634774E-02      2.65162941E-02
      72      2.53607070E-02      2.54110128E-02
      73      2.43100898E-02      2.43580241E-02
      74      2.33087516E-02      2.33544447E-02
      75      2.23540022E-02      2.23975760E-02
      76      2.14433218E-02      2.14848905E-02
      77      2.05743493E-02      2.06140200E-02
      78      1.97448706E-02      1.97827437E-02
      79      1.89528085E-02      1.89889782E-02
      80      1.81962131E-02      1.82307679E-02
      81      1.74732528E-02      1.75062759E-02
      82      1.67822063E-02      1.68137757E-02
      83      1.61214546E-02      1.61516438E-02
      84      1.54894746E-02      1.55183528E-02
      85      1.48848322E-02      1.49124645E-02
      86      1.43061765E-02      1.43326243E-02
      87      1.37522341E-02      1.37775553E-02
      88      1.32218043E-02      1.32460534E-02
