 #  Total cross section table (last run of 'elscata').
 #
 #  Z =  14,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  1.41017E-15  8.80595E-16  1.05676E-15  0.00000E+00  1.0E-07
   1.10000E+01  1.46853E-15  8.94494E-16  1.11306E-15  0.00000E+00  1.0E-07
   1.20000E+01  1.51867E-15  9.09977E-16  1.15447E-15  0.00000E+00  1.0E-07
   1.30000E+01  1.56133E-15  9.25328E-16  1.18271E-15  0.00000E+00  1.0E-07
   1.40000E+01  1.59727E-15  9.39482E-16  1.19951E-15  0.00000E+00  1.0E-07
   1.50000E+01  1.62717E-15  9.51802E-16  1.20652E-15  0.00000E+00  1.0E-07
   1.60000E+01  1.65166E-15  9.61929E-16  1.20532E-15  0.00000E+00  2.6E-07
   1.70000E+01  1.67130E-15  9.69712E-16  1.19732E-15  0.00000E+00  1.4E-07
   1.80000E+01  1.68660E-15  9.75112E-16  1.18382E-15  0.00000E+00  1.0E-07
   1.90000E+01  1.69799E-15  9.78180E-16  1.16593E-15  0.00000E+00  1.0E-07
   2.00000E+01  1.70589E-15  9.79033E-16  1.14464E-15  0.00000E+00  1.0E-07
   2.50000E+01  1.70516E-15  9.56074E-16  1.01285E-15  0.00000E+00  1.0E-07
   3.00000E+01  1.66210E-15  9.04092E-16  8.78581E-16  0.00000E+00  1.0E-07
   3.50000E+01  1.59976E-15  8.40449E-16  7.64377E-16  0.00000E+00  1.0E-07
   4.00000E+01  1.53129E-15  7.75219E-16  6.73228E-16  0.00000E+00  1.0E-07
   4.50000E+01  1.46347E-15  7.13259E-16  6.01721E-16  0.00000E+00  1.0E-07
   5.00000E+01  1.39941E-15  6.56495E-16  5.45366E-16  0.00000E+00  1.0E-07
   6.00000E+01  1.28623E-15  5.59711E-16  4.63532E-16  0.00000E+00  1.1E-07
   7.00000E+01  1.15592E-15  4.51831E-16  3.90054E-16  0.00000E+00  1.0E-07
   8.00000E+01  9.93894E-16  3.57470E-16  3.14841E-16  0.00000E+00  1.0E-07
   9.00000E+01  8.67588E-16  3.01210E-16  2.63670E-16  0.00000E+00  6.6E-07
   1.00000E+02  7.71196E-16  2.62772E-16  2.28054E-16  0.00000E+00  4.9E-06
   1.50000E+02  5.14675E-16  1.64105E-16  1.44688E-16  0.00000E+00  3.0E-06
   2.00000E+02  4.01199E-16  1.17700E-16  1.11408E-16  0.00000E+00  1.5E-06
   2.50000E+02  3.35090E-16  8.99341E-17  9.19775E-17  0.00000E+00  2.1E-06
   3.00000E+02  2.90810E-16  7.15768E-17  7.85325E-17  0.00000E+00  1.2E-05
   3.50000E+02  2.58632E-16  5.86687E-17  6.84205E-17  0.00000E+00  1.4E-06
   4.00000E+02  2.33969E-16  4.91827E-17  6.04523E-17  0.00000E+00  1.9E-05
   4.50000E+02  2.14343E-16  4.19718E-17  5.39843E-17  0.00000E+00  8.7E-06
   5.00000E+02  1.98279E-16  3.63404E-17  4.86229E-17  0.00000E+00  2.2E-06
   6.00000E+02  1.73401E-16  2.81884E-17  4.02549E-17  0.00000E+00  8.8E-06
   7.00000E+02  1.54881E-16  2.26405E-17  3.40430E-17  0.00000E+00  8.3E-06
   8.00000E+02  1.40455E-16  1.86677E-17  2.92699E-17  0.00000E+00  2.7E-06
   9.00000E+02  1.28836E-16  1.57102E-17  2.55038E-17  0.00000E+00  4.9E-06
   1.00000E+03  1.19235E-16  1.34401E-17  2.24685E-17  0.00000E+00  4.2E-06
   1.50000E+03  8.81919E-17  7.26014E-18  1.33915E-17  0.00000E+00  2.2E-03
   2.00000E+03  7.08147E-17  4.62369E-18  9.02776E-18  0.00000E+00  2.5E-03
   2.50000E+03  5.94788E-17  3.23277E-18  6.55458E-18  0.00000E+00  2.5E-03
   3.00000E+03  5.14188E-17  2.40142E-18  5.00296E-18  0.00000E+00  3.7E-03
   3.50000E+03  4.53602E-17  1.86162E-18  3.95931E-18  0.00000E+00  4.6E-03
   4.00000E+03  4.06243E-17  1.48974E-18  3.22063E-18  0.00000E+00  2.8E-03
   4.50000E+03  3.68128E-17  1.22186E-18  2.67699E-18  0.00000E+00  8.1E-03
   5.00000E+03  3.36748E-17  1.02204E-18  2.26430E-18  0.00000E+00  1.3E-02
   6.00000E+03  2.88051E-17  7.48422E-19  1.68770E-18  0.00000E+00  1.5E-02
   7.00000E+03  2.51954E-17  5.73755E-19  1.31147E-18  0.00000E+00  1.3E-02
   8.00000E+03  2.24096E-17  4.55072E-19  1.05148E-18  0.00000E+00  1.7E-02
   9.00000E+03  2.01930E-17  3.70550E-19  8.63835E-19  0.00000E+00  1.1E-02
   1.00000E+04  1.83865E-17  3.08105E-19  7.23662E-19  0.00000E+00  1.3E-02
   1.10000E+04  1.67197E-17  2.60586E-19  6.15995E-19  0.00000E+00  1.0E-07
   1.20000E+04  1.54753E-17  2.23549E-19  5.31416E-19  0.00000E+00  1.0E-07
   1.30000E+04  1.44095E-17  1.94086E-19  4.63670E-19  0.00000E+00  1.0E-07
   1.40000E+04  1.34862E-17  1.70242E-19  4.08510E-19  0.00000E+00  1.0E-07
   1.50000E+04  1.26786E-17  1.50657E-19  3.62960E-19  0.00000E+00  1.0E-07
   1.60000E+04  1.19663E-17  1.34363E-19  3.24880E-19  0.00000E+00  1.0E-07
   1.70000E+04  1.13333E-17  1.20654E-19  2.92699E-19  0.00000E+00  1.0E-07
   1.80000E+04  1.07670E-17  1.09003E-19  2.65242E-19  0.00000E+00  1.0E-07
   1.90000E+04  1.02574E-17  9.90129E-20  2.41614E-19  0.00000E+00  1.0E-07
   2.00000E+04  9.79643E-18  9.03789E-20  2.21124E-19  0.00000E+00  1.0E-07
   2.10000E+04  9.37740E-18  8.28631E-20  2.03232E-19  0.00000E+00  1.0E-07
   2.20000E+04  8.99485E-18  7.62777E-20  1.87510E-19  0.00000E+00  1.0E-07
   2.30000E+04  8.64420E-18  7.04734E-20  1.73615E-19  0.00000E+00  1.0E-07
   2.40000E+04  8.32163E-18  6.53298E-20  1.61271E-19  0.00000E+00  1.0E-07
   2.50000E+04  8.02389E-18  6.07489E-20  1.50252E-19  0.00000E+00  1.0E-07
