

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     330      4.86028384E-09      4.87187318E-09  i
     340      2.91621522E-09      2.92318468E-09  i
     350      1.74992222E-09      1.75409859E-09  i
     360      1.05017359E-09      1.05266436E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.29450E-16  0.000E+00 ( 2.063E-08, 1.948E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 4.29450E-16  5.971E-11 ( 2.063E-08, 1.948E-09) ( 8.429E-16, 8.020E-17)  1.00E-07
  1.250E-04 4.29450E-16  7.464E-11 ( 2.063E-08, 1.948E-09) ( 1.054E-15, 1.003E-16)  1.00E-07
  1.500E-04 4.29450E-16  8.957E-11 ( 2.063E-08, 1.948E-09) ( 1.264E-15, 1.203E-16)  1.00E-07
  1.750E-04 4.29450E-16  1.045E-10 ( 2.063E-08, 1.948E-09) ( 1.475E-15, 1.404E-16)  1.00E-07
  2.000E-04 4.29450E-16  1.194E-10 ( 2.063E-08, 1.948E-09) ( 1.686E-15, 1.604E-16)  1.00E-07
  2.250E-04 4.29450E-16  1.344E-10 ( 2.063E-08, 1.948E-09) ( 1.897E-15, 1.805E-16)  1.00E-07
  2.500E-04 4.29450E-16  1.493E-10 ( 2.063E-08, 1.948E-09) ( 2.107E-15, 2.005E-16)  1.00E-07
  2.750E-04 4.29450E-16  1.642E-10 ( 2.063E-08, 1.948E-09) ( 2.318E-15, 2.206E-16)  1.00E-07
  3.000E-04 4.29450E-16  1.791E-10 ( 2.063E-08, 1.948E-09) ( 2.529E-15, 2.406E-16)  1.00E-07
  3.250E-04 4.29450E-16  1.941E-10 ( 2.063E-08, 1.948E-09) ( 2.740E-15, 2.607E-16)  1.00E-07
  3.500E-04 4.29450E-16  2.090E-10 ( 2.063E-08, 1.948E-09) ( 2.950E-15, 2.807E-16)  1.00E-07
  3.750E-04 4.29450E-16  2.239E-10 ( 2.063E-08, 1.948E-09) ( 3.161E-15, 3.008E-16)  1.00E-07
  4.000E-04 4.29450E-16  2.389E-10 ( 2.063E-08, 1.948E-09) ( 3.372E-15, 3.208E-16)  1.00E-07
  4.250E-04 4.29450E-16  2.538E-10 ( 2.063E-08, 1.948E-09) ( 3.582E-15, 3.409E-16)  1.00E-07
  4.500E-04 4.29450E-16  2.687E-10 ( 2.063E-08, 1.948E-09) ( 3.793E-15, 3.609E-16)  1.00E-07
  4.750E-04 4.29450E-16  2.836E-10 ( 2.063E-08, 1.948E-09) ( 4.004E-15, 3.810E-16)  1.00E-07
  5.000E-04 4.29450E-16  2.986E-10 ( 2.063E-08, 1.948E-09) ( 4.215E-15, 4.010E-16)  1.00E-07
  5.250E-04 4.29450E-16  3.135E-10 ( 2.063E-08, 1.948E-09) ( 4.425E-15, 4.211E-16)  1.00E-07
  5.500E-04 4.29450E-16  3.284E-10 ( 2.063E-08, 1.948E-09) ( 4.636E-15, 4.411E-16)  1.00E-07
  5.750E-04 4.29450E-16  3.433E-10 ( 2.063E-08, 1.948E-09) ( 4.847E-15, 4.612E-16)  1.00E-07
  6.000E-04 4.29450E-16  3.583E-10 ( 2.063E-08, 1.948E-09) ( 5.058E-15, 4.812E-16)  1.00E-07
  6.250E-04 4.29450E-16  3.732E-10 ( 2.063E-08, 1.948E-09) ( 5.268E-15, 5.013E-16)  1.00E-07
