

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.53042282E-01      0.00000000E+00
       1      4.09610676E-01      4.15389118E-01
       2      3.38582924E-01      3.41556982E-01
       3      2.92107243E-01      2.94094390E-01
       4      2.58005791E-01      2.59482835E-01
       5      2.31358410E-01      2.32522863E-01
       6      2.09685783E-01      2.10639027E-01
       7      1.91562357E-01      1.92363503E-01
       8      1.76092994E-01      1.76779564E-01
       9      1.62679037E-01      1.63276342E-01
      10      1.50900688E-01      1.51426604E-01
      11      1.40452497E-01      1.40920110E-01
      12      1.31105534E-01      1.31524700E-01
      13      1.22683986E-01      1.23062309E-01
      14      1.15050054E-01      1.15393515E-01
      15      1.08093831E-01      1.08407219E-01
      16      1.01726331E-01      1.02013536E-01
      17      9.58745492E-02      9.61387707E-02
      18      9.04778897E-02      9.07217905E-02
      19      8.54855285E-02      8.57113472E-02
      20      8.08544373E-02      8.10640737E-02
      21      7.65478770E-02      7.67429565E-02
      22      7.25342364E-02      7.27161601E-02
      23      6.87861230E-02      6.89561074E-02
      24      6.52796470E-02      6.54387547E-02
      25      6.19938487E-02      6.21430135E-02
      26      5.89102383E-02      5.90502851E-02
      27      5.60124222E-02      5.61440834E-02
      28      5.32857972E-02      5.34097260E-02
      29      5.07172980E-02      5.08340796E-02
      30      4.82951890E-02      4.84053495E-02
      31      4.60088889E-02      4.61129033E-02
      32      4.38488241E-02      4.39471224E-02
      33      4.18063053E-02      4.18992783E-02
      34      3.98734212E-02      3.99614249E-02
      35      3.80429497E-02      3.81263095E-02
      36      3.63082798E-02      3.63872935E-02
      37      3.46633456E-02      3.47382869E-02
      38      3.31025686E-02      3.31736892E-02
      39      3.16208077E-02      3.16883398E-02
      40      3.02133152E-02      3.02774734E-02
      41      2.88756991E-02      2.89366819E-02
      42      2.76038886E-02      2.76618802E-02
      43      2.63941051E-02      2.64492765E-02
      44      2.52428356E-02      2.52953458E-02
      45      2.41468091E-02      2.41968063E-02
      46      2.31029761E-02      2.31505984E-02
      47      2.21084898E-02      2.21538663E-02
      48      2.11606894E-02      2.12039407E-02
      49      2.02570852E-02      2.02983243E-02
      50      1.93953450E-02      1.94346778E-02
      51      1.85732820E-02      1.86108077E-02
      52      1.77888437E-02      1.78246555E-02
      53      1.70401020E-02      1.70742873E-02
      54      1.63252436E-02      1.63578850E-02
      55      1.56425626E-02      1.56737375E-02
      56      1.49904522E-02      1.50202337E-02
      57      1.43673981E-02      1.43958549E-02
      58      1.37719721E-02      1.37991692E-02
      59      1.32028261E-02      1.32288249E-02
      60      1.26586874E-02      1.26835457E-02
      61      1.21383528E-02      1.21621254E-02
      62      1.16406852E-02      1.16634238E-02
      63      1.11646084E-02      1.11863620E-02
      64      1.07091040E-02      1.07299189E-02
      65      1.02732072E-02      1.02931275E-02
      66      9.85600417E-03      9.87507135E-03
      67      9.45662848E-03      9.47488202E-03
      68      9.07425824E-03      9.09173557E-03
      69      8.70811393E-03      8.72485058E-03
      70      8.35745538E-03      8.37348507E-03
      71      8.02157979E-03      8.03693454E-03
      72      7.69981964E-03      7.71452988E-03
      73      7.39154030E-03      7.40563494E-03
      74      7.09613876E-03      7.10964531E-03
