 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  2.52190E-08  1.61449E-09  7.97164E-14  5.12605E-15
  8.000E-03  4.87388E-09  2.52189E-08  1.61449E-09  8.22879E-14  5.29140E-15
  8.250E-03  5.18326E-09  2.52189E-08  1.61449E-09  8.48593E-14  5.45676E-15
  8.500E-03  5.50215E-09  2.52189E-08  1.61449E-09  8.74307E-14  5.62211E-15
  8.750E-03  5.83057E-09  2.52189E-08  1.61449E-09  9.00021E-14  5.78747E-15
  9.000E-03  6.16850E-09  2.52188E-08  1.61449E-09  9.25735E-14  5.95282E-15
  9.250E-03  6.51596E-09  2.52188E-08  1.61449E-09  9.51448E-14  6.11818E-15
  9.500E-03  6.87293E-09  2.52188E-08  1.61449E-09  9.77162E-14  6.28353E-15
  9.750E-03  7.23942E-09  2.52188E-08  1.61449E-09  1.00288E-13  6.44889E-15
  1.000E-02  7.61544E-09  2.52187E-08  1.61449E-09  1.02859E-13  6.61424E-15
  1.250E-02  1.18991E-08  2.52184E-08  1.61448E-09  1.28572E-13  8.26779E-15
  1.500E-02  1.71347E-08  2.52180E-08  1.61448E-09  1.54284E-13  9.92132E-15
  1.750E-02  2.33223E-08  2.52175E-08  1.61447E-09  1.79994E-13  1.15748E-14
  2.000E-02  3.04617E-08  2.52169E-08  1.61447E-09  2.05703E-13  1.32283E-14
  2.250E-02  3.85531E-08  2.52162E-08  1.61446E-09  2.31410E-13  1.48818E-14
  2.500E-02  4.75965E-08  2.52155E-08  1.61445E-09  2.57115E-13  1.65353E-14
  2.750E-02  5.75917E-08  2.52147E-08  1.61444E-09  2.82817E-13  1.81887E-14
  3.000E-02  6.85389E-08  2.52138E-08  1.61443E-09  3.08517E-13  1.98421E-14
  3.250E-02  8.04380E-08  2.52129E-08  1.61442E-09  3.34214E-13  2.14954E-14
  3.500E-02  9.32891E-08  2.52118E-08  1.61441E-09  3.59908E-13  2.31488E-14
  3.750E-02  1.07092E-07  2.52107E-08  1.61440E-09  3.85599E-13  2.48021E-14
  4.000E-02  1.21847E-07  2.52095E-08  1.61439E-09  4.11286E-13  2.64553E-14
  4.250E-02  1.37554E-07  2.52083E-08  1.61437E-09  4.36970E-13  2.81086E-14
  4.500E-02  1.54213E-07  2.52069E-08  1.61436E-09  4.62649E-13  2.97617E-14
  4.750E-02  1.71823E-07  2.52055E-08  1.61434E-09  4.88325E-13  3.14149E-14
  5.000E-02  1.90386E-07  2.52040E-08  1.61433E-09  5.13996E-13  3.30679E-14
  5.250E-02  2.09900E-07  2.52024E-08  1.61431E-09  5.39662E-13  3.47210E-14
  5.500E-02  2.30367E-07  2.52008E-08  1.61429E-09  5.65323E-13  3.63740E-14
  5.750E-02  2.51785E-07  2.51991E-08  1.61427E-09  5.90979E-13  3.80269E-14
  6.000E-02  2.74156E-07  2.51973E-08  1.61425E-09  6.16630E-13  3.96797E-14
  6.250E-02  2.97478E-07  2.51954E-08  1.61423E-09  6.42275E-13  4.13325E-14
  6.500E-02  3.21752E-07  2.51935E-08  1.61421E-09  6.67915E-13  4.29853E-14
  6.750E-02  3.46978E-07  2.51914E-08  1.61419E-09  6.93548E-13  4.46379E-14
  7.000E-02  3.73156E-07  2.51893E-08  1.61416E-09  7.19175E-13  4.62905E-14
  7.250E-02  4.00286E-07  2.51872E-08  1.61414E-09  7.44796E-13  4.79431E-14
  7.500E-02  4.28368E-07  2.51849E-08  1.61412E-09  7.70410E-13  4.95955E-14
  7.750E-02  4.57402E-07  2.51826E-08  1.61409E-09  7.96016E-13  5.12479E-14
  8.000E-02  4.87388E-07  2.51802E-08  1.61406E-09  8.21616E-13  5.29002E-14
  8.250E-02  5.18325E-07  2.51777E-08  1.61404E-09  8.47208E-13  5.45524E-14
  8.500E-02  5.50215E-07  2.51751E-08  1.61401E-09  8.72793E-13  5.62046E-14
