

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
     320      3.65731007E-06      3.66329810E-06  i
     330      2.57497085E-06      2.57919185E-06  i
     340      1.81218181E-06      1.81515593E-06  i
     350      1.27483110E-06      1.27692575E-06  i
     360      8.96454389E-07      8.97929040E-07  i
     370      6.30132043E-07      6.31169728E-07  i
     380      4.42758249E-07      4.43488162E-07  i
     390      3.10983559E-07      3.11496777E-07  i
     400      2.18347362E-07      2.18708066E-07  i
     410      1.53250649E-07      1.53504083E-07  i
     420      1.07523802E-07      1.07701795E-07  i
     430      7.54151931E-08      7.55401369E-08  i
     440      5.28772716E-08      5.29649612E-08  i
     450      3.70628317E-08      3.71243445E-08  i
     460      2.59698678E-08      2.60130030E-08  i
     470      1.81917808E-08      1.82220275E-08  i
     480      1.27392973E-08      1.27605078E-08  i
     490      8.91832417E-09      8.93318528E-09  i
     500      6.24160988E-09      6.25201799E-09  i
     510      4.36690101E-09      4.37419153E-09  i
     520      3.05444015E-09      3.05955197E-09  i
     530      2.13572582E-09      2.13929879E-09  i
     540      1.49314675E-09      1.49564802E-09  i
     550      1.04341111E-09      1.04516960E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 8.79506E-15  0.000E+00 ( 8.808E-08, 3.220E-08) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 8.79506E-15  1.305E-09 ( 8.808E-08, 3.220E-08) ( 3.563E-15, 1.367E-15)  1.00E-07
  1.250E-04 8.79506E-15  1.631E-09 ( 8.808E-08, 3.220E-08) ( 4.454E-15, 1.709E-15)  1.00E-07
  1.500E-04 8.79506E-15  1.957E-09 ( 8.808E-08, 3.220E-08) ( 5.344E-15, 2.051E-15)  1.00E-07
  1.750E-04 8.79506E-15  2.283E-09 ( 8.808E-08, 3.220E-08) ( 6.235E-15, 2.393E-15)  1.00E-07
  2.000E-04 8.79506E-15  2.609E-09 ( 8.808E-08, 3.220E-08) ( 7.126E-15, 2.735E-15)  1.00E-07
  2.250E-04 8.79506E-15  2.935E-09 ( 8.808E-08, 3.220E-08) ( 8.016E-15, 3.077E-15)  1.00E-07
  2.500E-04 8.79506E-15  3.261E-09 ( 8.808E-08, 3.220E-08) ( 8.907E-15, 3.419E-15)  1.00E-07
  2.750E-04 8.79506E-15  3.588E-09 ( 8.808E-08, 3.220E-08) ( 9.798E-15, 3.760E-15)  1.00E-07
  3.000E-04 8.79506E-15  3.914E-09 ( 8.808E-08, 3.220E-08) ( 1.069E-14, 4.102E-15)  1.00E-07
  3.250E-04 8.79506E-15  4.240E-09 ( 8.808E-08, 3.220E-08) ( 1.158E-14, 4.444E-15)  1.00E-07
  3.500E-04 8.79506E-15  4.566E-09 ( 8.808E-08, 3.220E-08) ( 1.247E-14, 4.786E-15)  1.00E-07
  3.750E-04 8.79506E-15  4.892E-09 ( 8.808E-08, 3.220E-08) ( 1.336E-14, 5.128E-15)  1.00E-07
  4.000E-04 8.79506E-15  5.218E-09 ( 8.808E-08, 3.220E-08) ( 1.425E-14, 5.470E-15)  1.00E-07
  4.250E-04 8.79506E-15  5.544E-09 ( 8.808E-08, 3.220E-08) ( 1.514E-14, 5.812E-15)  1.00E-07
  4.500E-04 8.79506E-15  5.871E-09 ( 8.808E-08, 3.220E-08) ( 1.603E-14, 6.153E-15)  1.00E-07
  4.750E-04 8.79506E-15  6.197E-09 ( 8.808E-08, 3.220E-08) ( 1.692E-14, 6.495E-15)  1.00E-07
  5.000E-04 8.79506E-15  6.523E-09 ( 8.808E-08, 3.220E-08) ( 1.781E-14, 6.837E-15)  1.00E-07
  5.250E-04 8.79506E-15  6.849E-09 ( 8.808E-08, 3.220E-08) ( 1.870E-14, 7.179E-15)  1.00E-07
  5.500E-04 8.79506E-15  7.175E-09 ( 8.808E-08, 3.220E-08) ( 1.960E-14, 7.521E-15)  1.00E-07
  5.750E-04 8.79506E-15  7.501E-09 ( 8.808E-08, 3.220E-08) ( 2.049E-14, 7.863E-15)  1.00E-07
  6.000E-04 8.79506E-15  7.827E-09 ( 8.808E-08, 3.220E-08) ( 2.138E-14, 8.205E-15)  1.00E-07
  6.250E-04 8.79506E-15  8.154E-09 ( 8.808E-08, 3.220E-08) ( 2.227E-14, 8.546E-15)  1.00E-07
  6.500E-04 8.79506E-15  8.480E-09 ( 8.808E-08, 3.220E-08) ( 2.316E-14, 8.888E-15)  1.00E-07
  6.750E-04 8.79506E-15  8.806E-09 ( 8.808E-08, 3.220E-08) ( 2.405E-14, 9.230E-15)  1.00E-07
  7.000E-04 8.79506E-15  9.132E-09 ( 8.808E-08, 3.220E-08) ( 2.494E-14, 9.572E-15)  1.00E-07
  7.250E-04 8.79506E-15  9.458E-09 ( 8.808E-08, 3.220E-08) ( 2.583E-14, 9.914E-15)  1.00E-07
  7.500E-04 8.79506E-15  9.784E-09 ( 8.808E-08, 3.220E-08) ( 2.672E-14, 1.026E-14)  1.00E-07
  7.750E-04 8.79506E-15  1.011E-08 ( 8.808E-08, 3.220E-08) ( 2.761E-14, 1.060E-14)  1.00E-07
  8.000E-04 8.79506E-15  1.044E-08 ( 8.808E-08, 3.220E-08) ( 2.850E-14, 1.094E-14)  1.00E-07
  8.250E-04 8.79506E-15  1.076E-08 ( 8.808E-08, 3.220E-08) ( 2.939E-14, 1.128E-14)  1.00E-07
  8.500E-04 8.79506E-15  1.109E-08 ( 8.808E-08, 3.220E-08) ( 3.028E-14, 1.162E-14)  1.00E-07
  8.750E-04 8.79506E-15  1.142E-08 ( 8.808E-08, 3.220E-08) ( 3.117E-14, 1.196E-14)  1.00E-07
  9.000E-04 8.79506E-15  1.174E-08 ( 8.808E-08, 3.220E-08) ( 3.207E-14, 1.231E-14)  1.00E-07
  9.250E-04 8.79506E-15  1.207E-08 ( 8.808E-08, 3.220E-08) ( 3.296E-14, 1.265E-14)  1.00E-07
  9.500E-04 8.79506E-15  1.239E-08 ( 8.808E-08, 3.220E-08) ( 3.385E-14, 1.299E-14)  1.00E-07
  9.750E-04 8.79506E-15  1.272E-08 ( 8.808E-08, 3.220E-08) ( 3.474E-14, 1.333E-14)  1.00E-07
  1.000E-03 8.79506E-15  1.305E-08 ( 8.808E-08, 3.220E-08) ( 3.563E-14, 1.367E-14)  1.00E-07
  1.250E-03 8.79506E-15  1.631E-08 ( 8.808E-08, 3.220E-08) ( 4.454E-14, 1.709E-14)  1.00E-07
  1.500E-03 8.79506E-15  1.957E-08 ( 8.808E-08, 3.220E-08) ( 5.344E-14, 2.051E-14)  1.00E-07
  1.750E-03 8.79505E-15  2.283E-08 ( 8.808E-08, 3.220E-08) ( 6.235E-14, 2.393E-14)  1.00E-07
  2.000E-03 8.79505E-15  2.609E-08 ( 8.808E-08, 3.220E-08) ( 7.126E-14, 2.735E-14)  1.00E-07
  2.250E-03 8.79504E-15  2.935E-08 ( 8.808E-08, 3.220E-08) ( 8.016E-14, 3.077E-14)  1.00E-07
  2.500E-03 8.79504E-15  3.261E-08 ( 8.808E-08, 3.220E-08) ( 8.907E-14, 3.419E-14)  1.00E-07
  2.750E-03 8.79503E-15  3.588E-08 ( 8.808E-08, 3.220E-08) ( 9.798E-14, 3.760E-14)  1.00E-07
  3.000E-03 8.79503E-15  3.914E-08 ( 8.808E-08, 3.220E-08) ( 1.069E-13, 4.102E-14)  1.00E-07
  3.250E-03 8.79502E-15  4.240E-08 ( 8.808E-08, 3.220E-08) ( 1.158E-13, 4.444E-14)  1.00E-07
  3.500E-03 8.79501E-15  4.566E-08 ( 8.808E-08, 3.220E-08) ( 1.247E-13, 4.786E-14)  1.00E-07
  3.750E-03 8.79501E-15  4.892E-08 ( 8.808E-08, 3.220E-08) ( 1.336E-13, 5.128E-14)  1.00E-07
  4.000E-03 8.79500E-15  5.218E-08 ( 8.808E-08, 3.220E-08) ( 1.425E-13, 5.470E-14)  1.00E-07
  4.250E-03 8.79499E-15  5.544E-08 ( 8.808E-08, 3.220E-08) ( 1.514E-13, 5.812E-14)  1.00E-07
  4.500E-03 8.79498E-15  5.871E-08 ( 8.808E-08, 3.220E-08) ( 1.603E-13, 6.153E-14)  1.00E-07
  4.750E-03 8.79497E-15  6.197E-08 ( 8.808E-08, 3.220E-08) ( 1.692E-13, 6.495E-14)  1.00E-07
  5.000E-03 8.79496E-15  6.523E-08 ( 8.808E-08, 3.220E-08) ( 1.781E-13, 6.837E-14)  1.00E-07
  5.250E-03 8.79495E-15  6.849E-08 ( 8.808E-08, 3.220E-08) ( 1.870E-13, 7.179E-14)  1.00E-07
  5.500E-03 8.79494E-15  7.175E-08 ( 8.808E-08, 3.220E-08) ( 1.960E-13, 7.521E-14)  1.00E-07
  5.750E-03 8.79493E-15  7.501E-08 ( 8.808E-08, 3.220E-08) ( 2.049E-13, 7.863E-14)  1.00E-07
