

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -4.95426835E-01      0.00000000E+00
       1      1.17010098E+00      1.48441683E+00
       2      2.64340711E-01      3.56004448E-01
       3     -3.50302934E-01     -3.05199791E-01
       4     -7.91039838E-01     -7.63585216E-01
       5     -1.12238429E+00     -1.10359998E+00
       6     -1.38088443E+00     -1.36707517E+00
       7      1.55329312E+00      1.56393889E+00
       8      1.38324760E+00      1.39173277E+00
       9      1.24146051E+00      1.24839197E+00
      10      1.12160527E+00      1.12737574E+00
      11      1.01912730E+00      1.02400437E+00
      12      9.30650806E-01      9.34824288E-01
      13      8.53613809E-01      8.57222760E-01
      14      7.86033988E-01      7.89182938E-01
      15      7.26352588E-01      7.29121807E-01
      16      6.73327103E-01      6.75779339E-01
      17      6.25955461E-01      6.28140501E-01
      18      5.83421212E-01      5.85379078E-01
      19      5.45053136E-01      5.46816358E-01
      20      5.10294953E-01      5.11890237E-01
      21      4.78682292E-01      4.80131753E-01
      22      4.49824931E-01      4.51147026E-01
      23      4.23392963E-01      4.24603207E-01
      24      3.99105901E-01      4.00217421E-01
      25      3.76724019E-01      3.77747990E-01
      26      3.56041424E-01      3.56987407E-01
      27      3.36880448E-01      3.37756671E-01
      28      3.19087111E-01      3.19900686E-01
      29      3.02527395E-01      3.03284499E-01
      30      2.87084185E-01      2.87790207E-01
      31      2.72654748E-01      2.73314407E-01
      32      2.59148621E-01      2.59766068E-01
      33      2.46485870E-01      2.47064768E-01
      34      2.34595610E-01      2.35139205E-01
      35      2.23414777E-01      2.23925955E-01
      36      2.12887074E-01      2.13368410E-01
      37      2.02962096E-01      2.03415894E-01
      38      1.93594569E-01      1.94022896E-01
      39      1.84743707E-01      1.85148428E-01
      40      1.76372668E-01      1.76755465E-01
      41      1.68448073E-01      1.68810472E-01
      42      1.60939608E-01      1.61282991E-01
      43      1.53819663E-01      1.54145292E-01
      44      1.47063033E-01      1.47372059E-01
      45      1.40646655E-01      1.40940130E-01
      46      1.34549374E-01      1.34828264E-01
      47      1.28751742E-01      1.29016935E-01
      48      1.23235846E-01      1.23488161E-01
      49      1.17985150E-01      1.18225342E-01
      50      1.12984364E-01      1.13213131E-01
      51      1.08219317E-01      1.08437306E-01
      52      1.03676859E-01      1.03884671E-01
      53      9.93447624E-02      9.95429564E-02
      54      9.52116414E-02      9.54007373E-02
      55      9.12668770E-02      9.14473599E-02
      56      8.75005514E-02      8.76728745E-02
      57      8.39033887E-02      8.40679759E-02
      58      8.04667027E-02      8.06239509E-02
      59      7.71823487E-02      7.73326302E-02
      60      7.40426811E-02      7.41863454E-02
      61      7.10405153E-02      7.11778908E-02
      62      6.81690920E-02      6.83004877E-02
      63      6.54220467E-02      6.55477535E-02
      64      6.27933802E-02      6.29136724E-02
      65      6.02774330E-02      6.03925693E-02
      66      5.78688616E-02      5.79790863E-02
      67      5.55626168E-02      5.56681608E-02
      68      5.33539238E-02      5.34550054E-02
      69      5.12382643E-02      5.13350901E-02
      70      4.92113594E-02      4.93041251E-02
      71      4.72691551E-02      4.73580460E-02
      72      4.54078072E-02      4.54929991E-02
      73      4.36236689E-02      4.37053286E-02
      74      4.19132791E-02      4.19915648E-02
      75      4.02733502E-02      4.03484124E-02
      76      3.87007590E-02      3.87727404E-02
      77      3.71925364E-02      3.72615729E-02
      78      3.57458587E-02      3.58120793E-02
      79      3.43580394E-02      3.44215670E-02
      80      3.30265214E-02      3.30874730E-02
      81      3.17488700E-02      3.18073569E-02
      82      3.05227661E-02      3.05788944E-02
      83      2.93459997E-02      2.93998705E-02
      84      2.82164646E-02      2.82681742E-02
      85      2.71321524E-02      2.71817927E-02
