 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  14,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  5.94708E-08  6.16643E-09  1.88148E-13  1.98351E-14
  8.000E-03  4.87388E-09  5.94708E-08  6.16643E-09  1.94217E-13  2.04749E-14
  8.250E-03  5.18326E-09  5.94707E-08  6.16643E-09  2.00286E-13  2.11147E-14
  8.500E-03  5.50215E-09  5.94706E-08  6.16643E-09  2.06355E-13  2.17546E-14
  8.750E-03  5.83057E-09  5.94705E-08  6.16642E-09  2.12424E-13  2.23944E-14
  9.000E-03  6.16850E-09  5.94704E-08  6.16642E-09  2.18493E-13  2.30343E-14
  9.250E-03  6.51596E-09  5.94703E-08  6.16642E-09  2.24562E-13  2.36741E-14
  9.500E-03  6.87293E-09  5.94702E-08  6.16642E-09  2.30631E-13  2.43139E-14
  9.750E-03  7.23942E-09  5.94700E-08  6.16642E-09  2.36700E-13  2.49538E-14
  1.000E-02  7.61544E-09  5.94699E-08  6.16642E-09  2.42768E-13  2.55936E-14
  1.250E-02  1.18991E-08  5.94686E-08  6.16639E-09  3.03454E-13  3.19919E-14
  1.500E-02  1.71347E-08  5.94671E-08  6.16637E-09  3.64135E-13  3.83901E-14
  1.750E-02  2.33223E-08  5.94652E-08  6.16634E-09  4.24811E-13  4.47882E-14
  2.000E-02  3.04617E-08  5.94630E-08  6.16630E-09  4.85481E-13  5.11862E-14
  2.250E-02  3.85531E-08  5.94606E-08  6.16626E-09  5.46144E-13  5.75842E-14
  2.500E-02  4.75965E-08  5.94579E-08  6.16622E-09  6.06798E-13  6.39819E-14
  2.750E-02  5.75917E-08  5.94549E-08  6.16617E-09  6.67445E-13  7.03796E-14
  3.000E-02  6.85389E-08  5.94516E-08  6.16611E-09  7.28081E-13  7.67771E-14
  3.250E-02  8.04380E-08  5.94480E-08  6.16605E-09  7.88707E-13  8.31744E-14
  3.500E-02  9.32891E-08  5.94441E-08  6.16599E-09  8.49322E-13  8.95715E-14
  3.750E-02  1.07092E-07  5.94400E-08  6.16592E-09  9.09924E-13  9.59684E-14
  4.000E-02  1.21847E-07  5.94355E-08  6.16585E-09  9.70513E-13  1.02365E-13
  4.250E-02  1.37554E-07  5.94308E-08  6.16577E-09  1.03109E-12  1.08762E-13
  4.500E-02  1.54213E-07  5.94258E-08  6.16569E-09  1.09165E-12  1.15158E-13
  4.750E-02  1.71823E-07  5.94205E-08  6.16560E-09  1.15219E-12  1.21554E-13
  5.000E-02  1.90386E-07  5.94149E-08  6.16551E-09  1.21272E-12  1.27949E-13
  5.250E-02  2.09900E-07  5.94090E-08  6.16541E-09  1.27323E-12  1.34345E-13
  5.500E-02  2.30367E-07  5.94029E-08  6.16531E-09  1.33372E-12  1.40740E-13
  5.750E-02  2.51785E-07  5.93964E-08  6.16521E-09  1.39420E-12  1.47135E-13
  6.000E-02  2.74156E-07  5.93897E-08  6.16509E-09  1.45465E-12  1.53529E-13
  6.250E-02  2.97478E-07  5.93827E-08  6.16498E-09  1.51508E-12  1.59923E-13
  6.500E-02  3.21752E-07  5.93754E-08  6.16486E-09  1.57549E-12  1.66317E-13
  6.750E-02  3.46978E-07  5.93678E-08  6.16473E-09  1.63588E-12  1.72710E-13
  7.000E-02  3.73156E-07  5.93600E-08  6.16460E-09  1.69624E-12  1.79103E-13
  7.250E-02  4.00286E-07  5.93518E-08  6.16447E-09  1.75658E-12  1.85496E-13
  7.500E-02  4.28368E-07  5.93434E-08  6.16433E-09  1.81690E-12  1.91888E-13
  7.750E-02  4.57402E-07  5.93347E-08  6.16419E-09  1.87719E-12  1.98280E-13
  8.000E-02  4.87388E-07  5.93257E-08  6.16404E-09  1.93745E-12  2.04671E-13
  8.250E-02  5.18325E-07  5.93164E-08  6.16388E-09  1.99768E-12  2.11062E-13
  8.500E-02  5.50215E-07  5.93068E-08  6.16373E-09  2.05789E-12  2.17452E-13
  8.750E-02  5.83057E-07  5.92970E-08  6.16356E-09  2.11806E-12  2.23842E-13
  9.000E-02  6.16850E-07  5.92869E-08  6.16340E-09  2.17821E-12  2.30232E-13
  9.250E-02  6.51596E-07  5.92765E-08  6.16322E-09  2.23832E-12  2.36620E-13
  9.500E-02  6.87293E-07  5.92658E-08  6.16305E-09  2.29840E-12  2.43009E-13
  9.750E-02  7.23942E-07  5.92548E-08  6.16287E-09  2.35845E-12  2.49396E-13
  1.000E-01  7.61543E-07  5.92435E-08  6.16268E-09  2.41847E-12  2.55784E-13
  1.250E-01  1.18991E-06  5.91156E-08  6.16056E-09  3.01657E-12  3.19621E-13
  1.500E-01  1.71347E-06  5.89599E-08  6.15797E-09  3.61038E-12  3.83387E-13
  1.750E-01  2.33223E-06  5.87769E-08  6.15492E-09  4.19906E-12  4.47067E-13
  2.000E-01  3.04617E-06  5.85669E-08  6.15140E-09  4.78184E-12  5.10647E-13
  2.250E-01  3.85531E-06  5.83306E-08  6.14742E-09  5.35792E-12  5.74113E-13
  2.500E-01  4.75964E-06  5.80686E-08  6.14297E-09  5.92657E-12  6.37450E-13
  2.750E-01  5.75916E-06  5.77814E-08  6.13807E-09  6.48707E-12  7.00646E-13
  3.000E-01  6.85388E-06  5.74699E-08  6.13272E-09  7.03875E-12  7.63686E-13
  3.250E-01  8.04378E-06  5.71347E-08  6.12691E-09  7.58096E-12  8.26557E-13
  3.500E-01  9.32888E-06  5.67766E-08  6.12066E-09  8.11308E-12  8.89245E-13
  3.750E-01  1.07092E-05  5.63965E-08  6.11396E-09  8.63455E-12  9.51739E-13
  4.000E-01  1.21846E-05  5.59953E-08  6.10682E-09  9.14484E-12  1.01402E-12
  4.250E-01  1.37553E-05  5.55739E-08  6.09924E-09  9.64347E-12  1.07609E-12
  4.500E-01  1.54212E-05  5.51332E-08  6.09123E-09  1.01300E-11  1.13792E-12
  4.750E-01  1.71822E-05  5.46741E-08  6.08280E-09  1.06040E-11  1.19950E-12
  5.000E-01  1.90385E-05  5.41977E-08  6.07394E-09  1.10651E-11  1.26083E-12
  5.250E-01  2.09899E-05  5.37050E-08  6.06467E-09  1.15130E-11  1.32188E-12
  5.500E-01  2.30365E-05  5.31969E-08  6.05498E-09  1.19475E-11  1.38266E-12
  5.750E-01  2.51783E-05  5.26745E-08  6.04489E-09  1.23682E-11  1.44314E-12
