

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      7.04570374E-01      0.00000000E+00
       1      5.13434593E-01      5.21482821E-01
       2      4.18781645E-01      4.22836156E-01
       3      3.56979699E-01      3.59661175E-01
       4      3.11715553E-01      3.13696626E-01
       5      2.76397488E-01      2.77952872E-01
       6      2.47711491E-01      2.48980662E-01
       7      2.23758402E-01      2.24821959E-01
       8      2.03349795E-01      2.04258528E-01
       9      1.85693151E-01      1.86481136E-01
      10      1.70233755E-01      1.70924967E-01
      11      1.56568209E-01      1.57180162E-01
      12      1.44393899E-01      1.44939787E-01
      13      1.33477896E-01      1.33967908E-01
      14      1.23636971E-01      1.24079148E-01
      15      1.14724301E-01      1.15125104E-01
      16      1.06620341E-01      1.06985046E-01
      17      9.92264050E-02      9.95593740E-02
      18      9.24600285E-02      9.27649151E-02
      19      8.62515714E-02      8.65314663E-02
      20      8.05416677E-02      8.07992096E-02
      21      7.52792877E-02      7.55167480E-02
      22      7.04202413E-02      7.06395894E-02
      23      6.59260072E-02      6.61289618E-02
      24      6.17628057E-02      6.19508756E-02
      25      5.79008562E-02      5.80753728E-02
      26      5.43137765E-02      5.44759203E-02
      27      5.09780924E-02      5.11289145E-02
      28      4.78728336E-02      4.80132738E-02
      29      4.49791984E-02      4.51100999E-02
      30      4.22802735E-02      4.24023951E-02
      31      3.97607972E-02      3.98748241E-02
      32      3.74069600E-02      3.75135127E-02
      33      3.52062338E-02      3.53058752E-02
      34      3.31472257E-02      3.32404682E-02
      35      3.12195521E-02      3.13068628E-02
      36      2.94137301E-02      2.94955358E-02
      37      2.77210825E-02      2.77977738E-02
      38      2.61336552E-02      2.62055903E-02
      39      2.46441448E-02      2.47116530E-02
      40      2.32458354E-02      2.33092192E-02
      41      2.19325415E-02      2.19920799E-02
      42      2.06985591E-02      2.07545093E-02
      43      1.95386210E-02      1.95912207E-02
      44      1.84478578E-02      1.84973267E-02
      45      1.74217624E-02      1.74683040E-02
      46      1.64561590E-02      1.64999618E-02
      47      1.55471745E-02      1.55884134E-02
      48      1.46912132E-02      1.47300507E-02
      49      1.38849341E-02      1.39215211E-02
      50      1.31252301E-02      1.31597071E-02
      51      1.24092092E-02      1.24417069E-02
      52      1.17341776E-02      1.17648177E-02
      53      1.10976243E-02      1.11265205E-02
      54      1.04972072E-02      1.05244653E-02
      55      9.93073993E-03      9.95645894E-03
      56      9.39618067E-03      9.42045295E-03
      57      8.89162113E-03      8.91453306E-03
      58      8.41527695E-03      8.43690929E-03
      59      7.96547867E-03      7.98590699E-03
      60      7.54066356E-03      7.55995863E-03
      61      7.13936806E-03      7.15759615E-03
      62      6.76022082E-03      6.77744404E-03
      63      6.40193632E-03      6.41821291E-03
      64      6.06330898E-03      6.07869355E-03
      65      5.74320769E-03      5.75775150E-03
      66      5.44057082E-03      5.45432197E-03
      67      5.15440152E-03      5.16740518E-03
      68      4.88376347E-03      4.89606210E-03
      69      4.62777686E-03      4.63941034E-03
      70      4.38561472E-03      4.39662055E-03
      71      4.15649949E-03      4.16691291E-03
      72      3.93969980E-03      3.94955398E-03
      73      3.73452755E-03      3.74385371E-03
      74      3.54033518E-03      3.54916269E-03
      75      3.35651306E-03      3.36486956E-03
      76      3.18248713E-03      3.19039867E-03
      77      3.01771672E-03      3.02520783E-03
      78      2.86169240E-03      2.86878620E-03
      79      2.71393416E-03      2.72065243E-03
      80      2.57398949E-03      2.58035276E-03
      81      2.44143180E-03      2.44745944E-03
      82      2.31585881E-03      2.32156907E-03
      83      2.19689106E-03      2.20230118E-03
      84      2.08417059E-03      2.08929681E-03
      85      1.97735962E-03      1.98221728E-03
      86      1.87613936E-03      1.88074293E-03
      87      1.78020888E-03      1.78457203E-03
      88      1.68928408E-03      1.69341970E-03
      89      1.60309665E-03      1.60701693E-03
      90      1.52139322E-03      1.52510967E-03
      91      1.44393443E-03      1.44745792E-03
      92      1.37049414E-03      1.37383494E-03
      93      1.30085867E-03      1.30402650E-03
      94      1.23482609E-03      1.23783011E-03
      95      1.17220551E-03      1.17505440E-03  i
      96      1.11281650E-03      1.11551845E-03  i
      97      1.05648844E-03      1.05905121E-03  i
      98      1.00306001E-03      1.00549092E-03  i
      99      9.52378653E-04      9.54684641E-04  i
     100      9.04300047E-04      9.06487671E-04  i
     105      6.98419561E-04      7.00102013E-04  i
     110      5.39971442E-04      5.41267183E-04  i
     115      4.17865980E-04      4.18865154E-04  i
     120      3.23654115E-04      3.24425484E-04  i
     125      2.50884176E-04      2.51480302E-04  i
     130      1.94619770E-04      1.95080907E-04  i
     135      1.51077106E-04      1.51434135E-04  i
     140      1.17351142E-04      1.17627793E-04  i
     145      9.12082413E-05      9.14227705E-05  i
     150      7.09286869E-05      7.10951602E-05  i
     155      5.51868326E-05      5.53160988E-05  i
     160      4.29596551E-05      4.30600910E-05  i
     165      3.34568595E-05      3.35349393E-05  i
     170      2.60673610E-05      2.61280932E-05  i
     175      2.03182299E-05      2.03654923E-05  i
     180      1.58431616E-05      1.58799590E-05  i
     185      1.23582248E-05      1.23868870E-05  i
     190      9.64318207E-06      9.66551694E-06  i
     195      7.52708872E-06      7.54449992E-06  i
     200      5.87718091E-06      5.89075891E-06  i
     205      4.59028778E-06      4.60088024E-06  i
     210      3.58619198E-06      3.59445813E-06  i
     215      2.80249126E-06      2.80894406E-06  i
     220      2.19061889E-06      2.19565768E-06  i
     225      1.71275920E-06      1.71669499E-06  i
     230      1.33945492E-06      1.34252999E-06  i
     235      1.04775049E-06      1.05015370E-06  i
     240      8.19750330E-07      8.21628943E-07  i
     245      6.41498280E-07      6.42967186E-07  i
     250      5.02106592E-07      5.03255396E-07  i
     255      3.93078735E-07      3.93977391E-07  i
     260      3.07782015E-07      3.08485150E-07  i
     265      2.41037064E-07      2.41587315E-07  i
     270      1.88798556E-07      1.89229267E-07  i
     275      1.47905680E-07      1.48242876E-07  i
     280      1.15888394E-07      1.16152423E-07  i
     285      9.08158240E-08      9.10226128E-08  i
     290      7.11782037E-08      7.13401789E-08  i
     295      5.57949038E-08      5.59218061E-08  i
     300      4.37423118E-08      4.38417335E-08  i
     310      2.68961404E-08      2.69572176E-08  i
     320      1.65459688E-08      1.65834983E-08  i
     330      1.01834612E-08      1.02065369E-08  i
     340      6.27019551E-09      6.28440368E-09  i
     350      3.86223886E-09      3.87097318E-09  i
     360      2.37981383E-09      2.38518933E-09  i
     370      1.46703265E-09      1.47033755E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.96645E-16  0.000E+00 ( 1.983E-08, 1.809E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 3.96645E-16  6.306E-11 ( 1.983E-08, 1.809E-09) ( 8.104E-16, 7.453E-17)  1.00E-07
  1.250E-04 3.96645E-16  7.883E-11 ( 1.983E-08, 1.809E-09) ( 1.013E-15, 9.316E-17)  1.00E-07
  1.500E-04 3.96645E-16  9.460E-11 ( 1.983E-08, 1.809E-09) ( 1.216E-15, 1.118E-16)  1.00E-07
  1.750E-04 3.96645E-16  1.104E-10 ( 1.983E-08, 1.809E-09) ( 1.418E-15, 1.304E-16)  1.00E-07
  2.000E-04 3.96645E-16  1.261E-10 ( 1.983E-08, 1.809E-09) ( 1.621E-15, 1.491E-16)  1.00E-07
  2.250E-04 3.96645E-16  1.419E-10 ( 1.983E-08, 1.809E-09) ( 1.823E-15, 1.677E-16)  1.00E-07
  2.500E-04 3.96645E-16  1.577E-10 ( 1.983E-08, 1.809E-09) ( 2.026E-15, 1.863E-16)  1.00E-07
  2.750E-04 3.96645E-16  1.734E-10 ( 1.983E-08, 1.809E-09) ( 2.229E-15, 2.049E-16)  1.00E-07
  3.000E-04 3.96645E-16  1.892E-10 ( 1.983E-08, 1.809E-09) ( 2.431E-15, 2.236E-16)  1.00E-07
  3.250E-04 3.96645E-16  2.050E-10 ( 1.983E-08, 1.809E-09) ( 2.634E-15, 2.422E-16)  1.00E-07
  3.500E-04 3.96645E-16  2.207E-10 ( 1.983E-08, 1.809E-09) ( 2.836E-15, 2.608E-16)  1.00E-07
  3.750E-04 3.96645E-16  2.365E-10 ( 1.983E-08, 1.809E-09) ( 3.039E-15, 2.795E-16)  1.00E-07
  4.000E-04 3.96645E-16  2.523E-10 ( 1.983E-08, 1.809E-09) ( 3.242E-15, 2.981E-16)  1.00E-07
  4.250E-04 3.96645E-16  2.680E-10 ( 1.983E-08, 1.809E-09) ( 3.444E-15, 3.167E-16)  1.00E-07
  4.500E-04 3.96645E-16  2.838E-10 ( 1.983E-08, 1.809E-09) ( 3.647E-15, 3.354E-16)  1.00E-07
  4.750E-04 3.96645E-16  2.996E-10 ( 1.983E-08, 1.809E-09) ( 3.849E-15, 3.540E-16)  1.00E-07
  5.000E-04 3.96645E-16  3.153E-10 ( 1.983E-08, 1.809E-09) ( 4.052E-15, 3.726E-16)  1.00E-07
  5.250E-04 3.96645E-16  3.311E-10 ( 1.983E-08, 1.809E-09) ( 4.255E-15, 3.913E-16)  1.00E-07
  5.500E-04 3.96645E-16  3.469E-10 ( 1.983E-08, 1.809E-09) ( 4.457E-15, 4.099E-16)  1.00E-07
  5.750E-04 3.96645E-16  3.626E-10 ( 1.983E-08, 1.809E-09) ( 4.660E-15, 4.285E-16)  1.00E-07
  6.000E-04 3.96645E-16  3.784E-10 ( 1.983E-08, 1.809E-09) ( 4.862E-15, 4.472E-16)  1.00E-07
  6.250E-04 3.96645E-16  3.941E-10 ( 1.983E-08, 1.809E-09) ( 5.065E-15, 4.658E-16)  1.00E-07
  6.500E-04 3.96645E-16  4.099E-10 ( 1.983E-08, 1.809E-09) ( 5.268E-15, 4.844E-16)  1.00E-07
  6.750E-04 3.96645E-16  4.257E-10 ( 1.983E-08, 1.809E-09) ( 5.470E-15, 5.031E-16)  1.00E-07
  7.000E-04 3.96645E-16  4.414E-10 ( 1.983E-08, 1.809E-09) ( 5.673E-15, 5.217E-16)  1.00E-07
  7.250E-04 3.96645E-16  4.572E-10 ( 1.983E-08, 1.809E-09) ( 5.875E-15, 5.403E-16)  1.00E-07
  7.500E-04 3.96645E-16  4.730E-10 ( 1.983E-08, 1.809E-09) ( 6.078E-15, 5.589E-16)  1.00E-07
  7.750E-04 3.96645E-16  4.887E-10 ( 1.983E-08, 1.809E-09) ( 6.281E-15, 5.776E-16)  1.00E-07
  8.000E-04 3.96645E-16  5.045E-10 ( 1.983E-08, 1.809E-09) ( 6.483E-15, 5.962E-16)  1.00E-07
  8.250E-04 3.96645E-16  5.203E-10 ( 1.983E-08, 1.809E-09) ( 6.686E-15, 6.148E-16)  1.00E-07
  8.500E-04 3.96645E-16  5.360E-10 ( 1.983E-08, 1.809E-09) ( 6.888E-15, 6.335E-16)  1.00E-07
  8.750E-04 3.96645E-16  5.518E-10 ( 1.983E-08, 1.809E-09) ( 7.091E-15, 6.521E-16)  1.00E-07
  9.000E-04 3.96645E-16  5.676E-10 ( 1.983E-08, 1.809E-09) ( 7.294E-15, 6.707E-16)  1.00E-07
  9.250E-04 3.96645E-16  5.833E-10 ( 1.983E-08, 1.809E-09) ( 7.496E-15, 6.894E-16)  1.00E-07
  9.500E-04 3.96645E-16  5.991E-10 ( 1.983E-08, 1.809E-09) ( 7.699E-15, 7.080E-16)  1.00E-07
  9.750E-04 3.96645E-16  6.149E-10 ( 1.983E-08, 1.809E-09) ( 7.901E-15, 7.266E-16)  1.00E-07
  1.000E-03 3.96645E-16  6.306E-10 ( 1.983E-08, 1.809E-09) ( 8.104E-15, 7.453E-16)  1.00E-07
  1.250E-03 3.96645E-16  7.883E-10 ( 1.983E-08, 1.809E-09) ( 1.013E-14, 9.316E-16)  1.00E-07
  1.500E-03 3.96645E-16  9.460E-10 ( 1.983E-08, 1.809E-09) ( 1.216E-14, 1.118E-15)  1.00E-07
  1.750E-03 3.96645E-16  1.104E-09 ( 1.983E-08, 1.809E-09) ( 1.418E-14, 1.304E-15)  1.00E-07
  2.000E-03 3.96645E-16  1.261E-09 ( 1.983E-08, 1.809E-09) ( 1.621E-14, 1.491E-15)  1.00E-07
  2.250E-03 3.96645E-16  1.419E-09 ( 1.983E-08, 1.809E-09) ( 1.823E-14, 1.677E-15)  1.00E-07
