

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -7.05993419E-01      0.00000000E+00
       1      9.50546352E-01      1.26189543E+00
       2      4.50957110E-02      1.33818034E-01
       3     -5.57490703E-01     -5.14678976E-01
       4     -9.81968709E-01     -9.56189041E-01
       5     -1.29773021E+00     -1.28014982E+00
       6     -1.54312927E+00     -1.53018076E+00
       7      1.40137472E+00      1.41140624E+00
       8      1.23918163E+00      1.24722813E+00
       9      1.10324808E+00      1.10986480E+00
      10      9.87722985E-01      9.93265180E-01
      11      8.88464014E-01      8.93172167E-01
      12      8.02428786E-01      8.06473195E-01
      13      7.27314172E-01      7.30819884E-01
      14      6.61333065E-01      6.64394636E-01
      15      6.03070510E-01      6.05761171E-01
      16      5.51387499E-01      5.53765093E-01
      17      5.05354484E-01      5.07465456E-01
      18      4.64204080E-01      4.66086239E-01
      19      4.27296551E-01      4.28981038E-01
      20      3.94094081E-01      3.95606806E-01
      21      3.64141219E-01      3.65503927E-01
      22      3.37049778E-01      3.38280858E-01
      23      3.12487009E-01      3.13602120E-01
      24      2.90166223E-01      2.91178776E-01
      25      2.69839274E-01      2.70760820E-01
      26      2.51290479E-01      2.52131013E-01
      27      2.34331649E-01      2.35099858E-01
      28      2.18798013E-01      2.19501479E-01
      29      2.04544832E-01      2.05190195E-01
      30      1.91444583E-01      1.92037679E-01
      31      1.79384598E-01      1.79930571E-01
      32      1.68265071E-01      1.68768471E-01
      33      1.57997377E-01      1.58462235E-01
      34      1.48502634E-01      1.48932535E-01
      35      1.39710482E-01      1.40108618E-01
      36      1.31558032E-01      1.31927254E-01
      37      1.23988961E-01      1.24331819E-01
      38      1.16952734E-01      1.17271515E-01
      39      1.10403928E-01      1.10700686E-01
      40      1.04301645E-01      1.04578228E-01
      41      9.86089974E-02      9.88670720E-02
      42      9.32926669E-02      9.35337374E-02
      43      8.83225094E-02      8.85479364E-02
      44      8.36712133E-02      8.38822293E-02
      45      7.93139973E-02      7.95117203E-02
      46      7.52283445E-02      7.54137904E-02
      47      7.13937678E-02      7.15678606E-02
      48      6.77916017E-02      6.79551833E-02
      49      6.44048182E-02      6.45586567E-02
      50      6.12178635E-02      6.13626605E-02
      51      5.82165128E-02      5.83529099E-02
      52      5.53877403E-02      5.55163251E-02
      53      5.27196041E-02      5.28409154E-02
      54      5.02011433E-02      5.03156755E-02
      55      4.78222850E-02      4.79304929E-02
      56      4.55737629E-02      4.56760646E-02
      57      4.34470419E-02      4.35438228E-02
      58      4.14342527E-02      4.15258681E-02
      59      3.95281315E-02      3.96149095E-02
      60      3.77219663E-02      3.78042099E-02
      61      3.60095484E-02      3.60875383E-02
      62      3.43851287E-02      3.44591247E-02
      63      3.28433785E-02      3.29136215E-02
      64      3.13793535E-02      3.14460671E-02
      65      2.99884614E-02      3.00518533E-02
      66      2.86664333E-02      2.87266965E-02
      67      2.74092964E-02      2.74666108E-02
      68      2.62133505E-02      2.62678836E-02
      69      2.50751461E-02      2.51270540E-02
      70      2.39914640E-02      2.40408926E-02
      71      2.29592979E-02      2.30063833E-02
      72      2.19758375E-02      2.20207071E-02
      73      2.10384537E-02      2.10812266E-02
      74      2.01446845E-02      2.01854724E-02
      75      1.92922230E-02      1.93311305E-02
      76      1.84789054E-02      1.85160307E-02
      77      1.77027011E-02      1.77381363E-02
      78      1.69617024E-02      1.69955340E-02
      79      1.62541163E-02      1.62864258E-02
      80      1.55782561E-02      1.56091200E-02
      81      1.49325339E-02      1.49620244E-02
      82      1.43154540E-02      1.43436390E-02
      83      1.37256065E-02      1.37525501E-02
      84      1.31616614E-02      1.31874241E-02
      85      1.26223637E-02      1.26470025E-02
      86      1.21065279E-02      1.21300966E-02
      87      1.16130336E-02      1.16355833E-02
      88      1.11408217E-02      1.11624005E-02
      89      1.06888900E-02      1.07095436E-02
      90      1.02562900E-02      1.02760614E-02
      91      9.84212315E-03      9.86105344E-03
      92      9.44553824E-03      9.46366608E-03
      93      9.06572814E-03      9.08309029E-03
      94      8.70192734E-03      8.71855866E-03
      95      8.35340934E-03      8.36934293E-03  i
      96      8.01948450E-03      8.03475177E-03  i
      97      7.69949775E-03      7.71412856E-03  i
      98      7.39282665E-03      7.40684936E-03  i
      99      7.09887956E-03      7.11232113E-03  i
     100      6.81709381E-03      6.82997991E-03  i
     105      5.57272759E-03      5.58317974E-03  i
     110      4.56211301E-03      4.57061190E-03  i
     115      3.73947488E-03      3.74639999E-03  i
     120      3.06855491E-03      3.07420775E-03  i
     125      2.52046412E-03      2.52508554E-03  i
     130      2.07207181E-03      2.07585506E-03  i
     135      1.70478149E-03      1.70788225E-03  i
     140      1.40359025E-03      1.40613430E-03  i
     145      1.15635878E-03      1.15844801E-03  i
     150      9.53240191E-04      9.54957360E-04  i
     155      7.86229978E-04      7.87642421E-04  i
     160      6.48809164E-04      6.49971765E-04  i
     165      5.35660019E-04      5.36617582E-04  i
     170      4.42438467E-04      4.43227618E-04  i
     175      3.65591356E-04      3.66242069E-04  i
     180      3.02209144E-04      3.02745978E-04  i
     185      2.49906885E-04      2.50349979E-04  i
     190      2.06727855E-04      2.07093741E-04  i
     195      1.71065306E-04      1.71367563E-04  i
     200      1.41598847E-04      1.41848639E-04  i
     205      1.17242645E-04      1.17449155E-04  i
     210      9.71031724E-05      9.72739597E-05  i
     215      8.04446984E-05      8.05859896E-05  i
     220      6.66610763E-05      6.67780026E-05  i
     225      5.52526555E-05      5.53494477E-05  i
     230      4.58073667E-05      4.58875147E-05  i
     235      3.79852105E-05      3.80515946E-05  i
     240      3.15055285E-05      3.15605267E-05  i
     245      2.61365495E-05      2.61821260E-05  i
     250      2.16867985E-05      2.17245764E-05  i
     255      1.79980317E-05      1.80293525E-05  i
     260      1.49394228E-05      1.49653958E-05  i
     265      1.24027759E-05      1.24243189E-05  i
     270      1.02985826E-05      1.03164547E-05  i
     275      8.55277123E-06      8.56760085E-06  i
     280      7.10402684E-06      7.11633422E-06  i
     285      5.90157999E-06      5.91179595E-06  i
     290      4.90338186E-06      4.91186327E-06  i
     295      4.07459749E-06      4.08164004E-06  i
     300      3.38636114E-06      3.39220987E-06  i
     310      2.33992211E-06      2.34395786E-06  i
     320      1.61765482E-06      1.62044120E-06  i
     330      1.11885378E-06      1.12077861E-06  i
     340      7.74197975E-07      7.75528325E-07  i
     350      5.35933639E-07      5.36853545E-07  i
     360      3.71142107E-07      3.71778491E-07  i
     370      2.57116770E-07      2.57557204E-07  i
     380      1.78185765E-07      1.78490711E-07  i
     390      1.23526462E-07      1.23737669E-07  i
     400      8.56611833E-08      8.58075171E-08  i
     410      5.94207601E-08      5.95221985E-08  i
     420      4.12302117E-08      4.13005317E-08  i
     430      2.86164533E-08      2.86652367E-08  i
