

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+04 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      1.18812890E+00      0.00000000E+00
       1      8.55476813E-01      8.71496118E-01
       2      6.89747145E-01      6.97315261E-01
       3      5.82629571E-01      5.87452316E-01
       4      5.05328313E-01      5.08789490E-01
       5      4.46038702E-01      4.48687305E-01
       6      3.98758707E-01      4.00869149E-01
       7      3.60013584E-01      3.61743096E-01
       8      3.27609489E-01      3.29056666E-01
       9      3.00073038E-01      3.01303783E-01
      10      2.76368085E-01      2.77428593E-01
      11      2.55739653E-01      2.56663504E-01
      12      2.37621966E-01      2.38434281E-01
      13      2.21581276E-01      2.22301293E-01
      14      2.07278760E-01      2.07921496E-01
      15      1.94445548E-01      1.95022913E-01
      16      1.82865398E-01      1.83386970E-01
      17      1.72362375E-01      1.72835946E-01
      18      1.62791880E-01      1.63223857E-01
      19      1.54034004E-01      1.54429700E-01
      20      1.45988510E-01      1.46352368E-01
      21      1.38571002E-01      1.38906766E-01
      22      1.31709950E-01      1.32020794E-01
      23      1.25344360E-01      1.25632993E-01
      24      1.19421933E-01      1.19690679E-01
      25      1.13897587E-01      1.14148451E-01
      26      1.08732270E-01      1.08966989E-01
      27      1.03891996E-01      1.04112085E-01
      28      9.93470590E-02      9.95538427E-02
      29      9.50713825E-02      9.52660240E-02
      30      9.10419848E-02      9.12255105E-02
      31      8.72385334E-02      8.74118522E-02
      32      8.36429728E-02      8.38068924E-02
      33      8.02392122E-02      8.03944533E-02
      34      7.70128623E-02      7.71600698E-02
      35      7.39510128E-02      7.40907660E-02
      36      7.10420429E-02      7.11748635E-02
      37      6.82754604E-02      6.84018199E-02
      38      6.56417634E-02      6.57620893E-02
      39      6.31323228E-02      6.32470035E-02
      40      6.07392795E-02      6.08486691E-02
      41      5.84554571E-02      5.85598793E-02
      42      5.62742856E-02      5.63740369E-02
      43      5.41897354E-02      5.42850881E-02
      44      5.21962596E-02      5.22874643E-02
      45      5.02887438E-02      5.03760318E-02
      46      4.84624620E-02      4.85460474E-02
      47      4.67130384E-02      4.67931192E-02
      48      4.50364128E-02      4.51131731E-02
      49      4.34288114E-02      4.35024223E-02
      50      4.18867195E-02      4.19573404E-02
      51      4.04068586E-02      4.04746384E-02
      52      3.89861653E-02      3.90512430E-02
      53      3.76217726E-02      3.76842786E-02
      54      3.63109937E-02      3.63710501E-02
      55      3.50513067E-02      3.51090282E-02
      56      3.38403415E-02      3.38958360E-02
      57      3.26758679E-02      3.27292368E-02
      58      3.15557846E-02      3.16071238E-02
      59      3.04781099E-02      3.05275094E-02
      60      2.94409721E-02      2.94885174E-02
      61      2.84426026E-02      2.84883742E-02
      62      2.74813275E-02      2.75254018E-02
      63      2.65555620E-02      2.65980113E-02
      64      2.56638038E-02      2.57046965E-02
      65      2.48046276E-02      2.48440289E-02
      66      2.39766805E-02      2.40146521E-02
      67      2.31786770E-02      2.32152776E-02
      68      2.24093947E-02      2.24446801E-02
      69      2.16676708E-02      2.17016941E-02
      70      2.09523980E-02      2.09852099E-02
      71      2.02625218E-02      2.02941703E-02
      72      1.95970368E-02      1.96275679E-02
      73      1.89549841E-02      1.89844417E-02
      74      1.83354488E-02      1.83638747E-02
      75      1.77375575E-02      1.77649916E-02
      76      1.71604757E-02      1.71869562E-02
      77      1.66034062E-02      1.66289696E-02
      78      1.60655868E-02      1.60902679E-02
      79      1.55462882E-02      1.55701204E-02
      80      1.50448131E-02      1.50678283E-02
      81      1.45604936E-02      1.45827223E-02
      82      1.40926904E-02      1.41141619E-02
      83      1.36407909E-02      1.36615333E-02
      84      1.32042083E-02      1.32242484E-02
      85      1.27823801E-02      1.28017436E-02
